Unnamed: 0,18. Household Articles,கே4ரு வஸ்துன்,घेरु वस्तुन,ꢕꢾꢬꢸ ꢮꢱ꣄ꢡꢸꢥ꣄
பூச்சட்டி  / பூத்தொட்டி  ,flower pot,பூ2லு நிவி,फूलु निवि,ꢧꢹꢭꢸ ꢥꢶꢮꢶ
பெட்டி  ,box,பெடி,प॑टि,ꢦꢾꢜꢶ
பொம்மை  ,toy,பிள்டி,पिळ्टि,ꢦꢶꢳ꣄ꢜꢶ
போர்வை  ,blanket,ப2ங்கு3ரொ/ப2ங்கு3ரி,"फङ्गुरा॑, फङ्गुरि","ꢧꢖ꣄ꢔꢸꢬꣁ, ꢧꢖ꣄ꢔꢸꢬꢶ"
மணி  ,time,கெ4டி3,घ॑टि,ꢕꢾꢜꢶ
மிதியடி,mat,பாய்ன் பொஸில்னி,पाय्न प॑सिल्नि,ꢦꢵꢫ꣄ꢥ꣄ ꢦꣁꢱꢶꢭ꣄ꢥꢶ
மின்விசிறி  ,electric fan,வித்3யுத்விஜனொ,विद्युत्विजनो,ꢮꢶꢣ꣄ꢫꢸꢡ꣄ꢮꢶꢙꢥꣁ
மின் விளக்கு  ,electric lamp,வித்3யுத் தி3வொ,विद्युत्दिवा॑,ꢮꢶꢣ꣄ꢫꢸꢮꢶꢡ꣄ ꢣꢶꢮꣁ
முக்காலி  ,three legged stool,தீ2ன்பாஇ~திவி,थीन्पाइ~  तिवि,ꢢꢷꢥ꣄ꢦꢵꢄ~  ꢡꢶꢮꢶ
மெத்தை  ,mattress,மெது3ளொ,मेदुळा॑,ꢪꢾꢣꢸꢳꣁ
மெழுகுவர்த்தி  ,candle,மெயினுவாத்/   மோம் வாத்,"म॑यिनु वात, मोम्वात","ꢪꢾꢫꢶꢥꢸ ꢮꢵꢡ꣄, ꢪꣂꢪ꣄ ꢮꢵꢡ꣄"
மேசை  ,table,மேஜொ,मेजा॑,ꢪꢿꢙꣁ
"வாரியல், விளக்கமாறு",Broom stick,"வார், ஜ2ண்ணி","वार्, झण्णि","ꢮꢵꢬ꣄, ꢚꢠ꣄ꢠꢶ"
வாளி  ,bucket,குடொ3,कुडा॑,ꢒꢸꢞꣁ
வானொலிப் பெட்டி  ,radio,"க3வ்னி பெடி,  அகாஸ் தொ4னி பெடி","गव्नि प॑टि, अकास धा॑नि प॑टि",ꢔꢮ꣄ꢥꢶ ꢦꢾꢜꢶ ꢂꢒꢵꢱ꣄ ꢤꣁꢥꢶ ꢦꢾꢜꢶ
விசிறி,fan,விஜனொ,विजना॑,ꢮꢶꢙꢥꣁ
விளக்கு  ,lamp,தி3வொ,तिवा॑,ꢡꢶꢮꣁ
விளக்குமாறு  ,broomstick,ஜ2ண்ணி,झण्णि,ꢚꢠ꣄ꢠꢶ
