Unnamed: 0,21. Law and Order,ஸாஸனொ கினு ஆஜ்ஞொ,सासना॑ किनु आज्ना॑,ꢱꢵꢱꢥꣁ ꢒꢶꢥꢸ ꢃꢙ꣄ꢛꣁ
கடுஞ்சிறை  ,rigorous imprisonment,காராகார்/காரா கே4ர்/கெ2டி3னு காராகார்,"काराकार, काराघेर, ख॑डिनु काराकार","ꢒꢵꢬꢵꢒꢵꢬ꣄, ꢒꢵꢬꢵꢕꢾꢬ꣄, ꢓꢾꢞꢶꢥꢸ ꢒꢵꢬꢵꢒꢵꢬ꣄"
கண்ணியம்  ,dignity,கெ4னம்,घ॑नम्,ꢕꢾꢥꢪ꣄
கண்ணீர்ப்புகை  ,tear gas,தொ3ளாதூ4ம்,दा॑ळाम्धूम्,ꢣꣁꢳꢵꢪ꣄ ꢤꢹꢪ꣄
கதவடைப்பு  ,lock out,கவாட் ஜ2கி3னி / ப3ந்த்3,"कवाट झगिनि, बन्द","ꢒꢮꢵꢜ꣄ ꢚꢔꢶꢥꢶ, ꢨꢥ꣄ꢣ꣄"
கலகம்  ,mutiny,ரௌளி/கலக3ம்,"रौळि, कलगम्","ꢬꣃꢳꢶ, ꢒꢭꢔꢪ꣄"
கலாட்டா  ,disturbance,க3லாட்டா,कलाट्टा,ꢔꢭꢵꢜ꣄ꢜꢵ
ஊரடங்குச் சட்டம்   ,curfew,கா3ம்நிஸப்3து3ஸாஸனொ,गाम् निसब्दु सासना॑,ꢔꢵꢪ꣄ ꢥꢶꢱꢨ꣄ꢣꢸ ꢱꢵꢱꢥꣁ
ஊழல்  ,corruption,ப்3ரஷ்டாசார்/மலினாசார்,"ब्रष्टाचार, मलिनाचार","ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄, ꢪꢭꢶꢥꢵꢗꢵꢬ꣄"
எத்தன்  ,cheater,மோஸகார்/ஹொங்க3ட்3ணார்,"मोसकार, हा॑ङ्गडणार","ꢪꣁꢱꢒꢵꢬ꣄, ꢲꣁꢖ꣄ꢔꢞ꣄ꢠꢵꢬ꣄"
எதிர்க்கட்சிக்காரன் ,opposition cadre,விபக்ஷுவான்/தோகு பக்ஷுவான்,"विपक्षुवान, तोकुपक्षुवान","ꢮꢶꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄, ꢡꣂꢒꢸꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄"
ஒத்தி  ,lease,ஒத்தி,आ॑त्ति,ꢏꢡ꣄ꢡꢶ
ஒற்றன்,spy,"லுக்ஜானி, சார்","लुक्जानि, चार्","ꢭꢸꢒ꣄ꢙꢵꢥꢶ, ꢗꢵꢬ꣄"
கட்சிக்காரன்  ,client,கட்சிகெரொ/பக்ஷுவான்,"कट्चिक॑रा॑, पक्षुवान","ꢒꢜ꣄ꢗꢶꢒꢾꢬꣁ, ꢦꢒ꣄ꢯꢸꢮꢵꢥ꣄"
கட்டளை,order,செத்தர்,च॑त्तर्,ꢗꢾꢡ꣄ꢡꢬ꣄
கட்டுப்பாடு  ,discipline,நேமொ,नेमा॑,ꢥꢿꢪꣁ
கள்ளன்  ,thief (M),சொட்3டொ3,चा॑ड्डा॑,ꢗꣁꢞ꣄ꢞꣁ
கள்ளி  ,thief (F),சொட்3டி3,चा॑ड्डि,ꢱ꣄ꣁꢞ꣄ꢞꢶ
காவல் நிலைய கண்காணிப்பு,police custody,த2ணா ஸ்த2ல ரக்ஷினி/த2ணா ரக்ஷினி,"थणा स्थल रक्षिनि, थणारक्षिनि","ꢢꢠꢵ ꢱ꣄ꢢꢭ ꢬꢒ꣄ꢰꢶꢥꢶ, ꢢꢠꢵ ꢬꢒ꣄ꢰꢶꢥꢶ"
காவல் துறை   ,police department,த2ணா விபா4க்3,थणा विभाग,ꢢꢠꢵ ꢮꢶꢩꢵꢔ꣄
காவல் நிலையம் ,police station,த2ணா ஸ்த2ல்,थणा स्थल्,ꢢꢠꢵ ꢱ꣄ꢢꢭ꣄
காவலர்  ,policeman,த2ணைத்,थणैत,ꢢꢠꣀꢡ꣄
கிண்டல்  ,"mocking, teasing",கெ2ல்லல்,ख॑ल्लल्,ꢒꢾꢭ꣄ꢭꢭ꣄
குண்டன்,goonda,ரௌடி3,रौडि,ꢬꣃꢞꢶ
குண்டு  ,bomb,கு3ண்டு3,कुण्डु,ꢒꢸꢠ꣄ꢞꢸ
குதிரைப்படை  ,mounted police,கொ4டா3ஸைன்யு,घा॑डा सैन्यु,ꢕꣁꢞꢵ ꢱꣀꢥ꣄ꢫꢸ
கும்பல்  ,crowd,கு3ம்பு,कुम्पु,ꢒꢸꢪ꣄ꢦꢸ
குழப்பம்  ,confusion,லும்ப்ளொ,लुम्प्ळा॑,ꢭꢸꢪ꣄ꢦ꣄ꢳꣁ
குற்றம்  ,crime,அபராத்4,अपराध,ꢂꢦꢬꢵꢤ꣄
குற்றவாளி  ,"culprit, the accused",அபராதி4,अपराधि,ꢂꢦꢬꢵꢕꢶ
குறுக்கு விசாரணை   ,cross question,அவ்டா3 விசாரணொ,अव्डा विचारणा॑,ꢂꢮ꣄ꢞꢵ ꢮꢶꢗꢵꢬꢠꣁ
கைதி  ,prisoner,கைதி3/ப3ந்தி3/காராகு3ப்தொ,"कैदि, बन्दि, कारा गुप्ता॑","ꢒꣀꢣꢶ, ꢨꢥ꣄ꢣꢶ, ꢒꢵꢬꢵ ꢔꢸꢦ꣄ꢡꣁ"
கைது  ,arrest,கைது3/ப3ந்தி3கெர்னி,"कैदु, बन्दिक॑र्नि","ꢒꣀꢣꢸ, ꢨꢥ꣄ꢣꢶꢒꢾꢬ꣄ꢥꢶ"
"கையூட்டு, லஞ்சம்",bribe,லெஞ்சம்,लेञ्चम्,ꢭꢾꢛ꣄ꢗꢪ꣄
கேலி,"Mocking,trasing",கெல்லல்கொ,केल्लल्का॑,ꢒꢾꢭ꣄ꢭꢭ꣄ꢒꣁ
கொலை  ,murder,மொரட3ஸ்தே,मा॑रटस्ते,ꢪꣁꢬꢜꢱ꣄꣄ꢡꢾ
கொலைகாரன்/ கொலையாளி,murderer,மொரட்3ணார்/ஹந்தொ/கா4தி,"मा॑रड्णार, हन्ता॑, घाति","ꢪꣁꢬꢞ꣄ꢠꢵꢬ꣄, ꢲꢥ꣄ꢡꣁ, ꢕꢵꢡꢶ"
கொள்ளை  ,decoity,கபடு கி2ஞ்சினி,कपटु खिञ्चिनि,ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢶꢥꢶ
கொள்ளைக்காரன் ,decoit (M),கபடு கி2ஞ்சுனார்,कपटु खिञ्चुनार,ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄
கொள்ளைக்காரி  ,decoit (F),கபடு கி2ஞ்சுனார்,कपटु खिञ्चुनार,ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄
கோஷ்டி  ,group,கு3ம்பு,कुम्पु,ꢒꢸꢪ꣄ꢦꢸ
சட்டத்தொகுப்பு  ,code,ஸாஸன ஸங்களனொ/ ஸாஸன ஸங்கலனொ,"सासन सङ्कळ्ना॑, सासन सङ्कलना॑","ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢳꢥꣁ, ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢭꢥꣁ"
சட்டம்  ,law,ஸாஸனொ,सासना॑,ꢱꢵꢱꢥꣁ
சன்மானம்  ,prize,பொ4கு3மான்,भा॑गुमान,ꢩꣁꢔꢸꢪꢵ
சாட்சி  ,witness,ஸாக்ஷி,साक्षि,ꢱꢵꢒ꣄ꢰꢶ
சாதகம்  ,favour,பக்ஷு/ஸாத3கொ,"पक्षु, सादका॑","ꢦꢒ꣄ꢰꢸ, ꢱꢵꢣꢒꣁ"
சாலை விதிகள்   ,traffic rules,ஸாலா விதி4ன்,साला विधिन,ꢱꢵꢭꢵ ꢮꢶꢤꢶꢥ꣄
சிக்கல்  ,problem,பிஸ்கல்/பு3ஸ்கொ,"पिस्कल, बुस्का॑","ꢦꢶꢱ꣄ꢒꢭ꣄, ꢦꢸꢱ꣄ꢒꣁ"
சித்திரவதை  ,torture,சித்ரவதொ4,चित्रवधो,ꢗꢶꢡ꣄ꢬ ꢮꢤꣁ
சிறை  ,"jail, prison",காரா கே4ர்,काराघेर,ꢒꢵꢬꢵꢕꢾꢬ꣄
சுரண்டல்  ,exploitation,ஸோஸனொ/குநுகி3னி,"सोसना॑, कुनुगिनि","ꢱꣂꢱꢥꣁ, ꢒꢸꢥꢸꢔꢶꢥꢶ"
சூறையாடல்  ,plunder,விலூட்2/ஹனிமார்/விலுட2னொ,"विलूठ, हनिमार, विलुठना॑","ꢮꢶꢭꢹꢝ꣄, ꢲꢥꢶꢪꢵꢬ꣄, ꢮꢶꢭꢸꢝꢥꣁ"
சொத்து  ,property,ஆஸ்தி/ஸொத்து,"आस्ति, सा॑त्तु","ꢃꢱ꣄ꢡꢶ, ꢱꣁꢡ꣄ꢡꢸ"
தகராறு  ,dispute,தெகு3ரால்,त॑कुराल्,ꢡꢾꢒꢸꢬꢵꢭ꣄
தடயம்  ,evidence,ருஜு,रुजु,ꢬꢸꢙꢸ
தடியடி  ,lathi charge,த2னால் லைடா3 ஹன்னி,थणा ललैडा हन्नि,ꢢꢥꢵꢭ ꣄ꢭꣀꢞꢵ ꢲꢥ꣄ꢥꢶ
தடையுத்தரவு  ,"prevention order, stay order",ஹிப்3பா3டு3 ஆஜ்ஞொ/     நிரோத்4 ஆஜ்ஞொ,"हिब्बाडु आजञो, निरोध आजञो","ꢲꢶꢨ꣄ꢨꢵꢞꢸ ꢃꢙꢛꣁ,  ꢥꢶꢬꣂꢤ꣄ ꢃꢙ꣄ꢛꢸ"
தண்டனை  ,punish-ment,தெ3ண்ட3னொ,द॑ण्डना॑,ꢣꢾꢠ꣄ꢞꢥꣁ
"தவறு, தப்பு  ",mistake,மந்து,मन्तु,ꢪꢥ꣄ꢡꢸ
தரப்பு  ,side,ஹோர்,होर्,ꢲꣂꢬ꣄
தற்காப்பு  ,self-defence,ஸ்வய ரக்ஷணொ,स्वय रक्षणा॑,ꢱ꣄ꢮꢫ ꢬꢒ꣄ꢰꢠꣁ
திருட்டு  ,theft,சோர்,चो्र,ꢗꣁꢬ꣄
திருடன்  ,thief (M),சொட்3டொ3,चा॑ड्डा॑,ꢗꣁꢞ꣄ꢞꣁ
திருடி  ,thief (F),சொட்3டி3,चा॑ड्डि,ꢗꣁꢞ꣄ꢞꢶ
தீர்ப்பு  ,judgement,தீர்பு/ நிர்ணயொ,"तीर्पु, निर्णया॑","ꢡꢷꢬ꣄ꢦꢸ, ꢠꢶꢬ꣄ꢠꢫꣁ"
தீவிரவாதி  ,extremist,உக்3ரவாதி3,उग्रवाति,ꢄꢔ꣄ꢬꢮꢵꢡꢶ 
துப்பறிபவர்  ,detective,லுக் ஜன்னார்,लुक्जन्नर,ꢭꢸꢒ꣄ ꢙꢥ꣄ꢥꢬ꣄
துப்பு  ,clue,ஸூசனொ/துப்பு,"सूचना॑, तुप्पु","ꢱꢹꢗꢥꣁ, ꢜꢸꢦ꣄ꢦꢸ"
தூக்குத்தண்டனை   ,hanging punishment,தோ3ரு த3ண்ட3னொ,दोरु दण्डना॑,ꢣꣂꢬꢸ ꢣꢠ꣄ꢞꢵꢥꣁ
நடவடிக்கை  ,action,ஹோரு க்ரியொ,होरुक्रिया॑,ꢲꣁꢬꢸꢒ꣄ꢬꢶꢫꣁ
நன்னடத்தை  ,good conduct,ஸுசால்/சொக் சல்னி/ஸத் சல்னி,"सूचाल, चा॑क चल्नि, सत चल्नि","ꢱꢹꢗꢵꢭ꣄, ꢗꣁꢒ꣄ ꢗꢭ꣄ꢥꢶ, ꢱꢡ꣄ ꢗꢭ꣄ꢥꢶ"
நஷ்ட ஈடு   ,compensation, நிவாரணொ,निवारणा॑,ꢥꢶꢮꢵꢬꢠꣁ
நீதி  ,justice,நியாவ்,नियाव्,ꢥꢶꢫꢵꢮ꣄
நீதிபதி  ,judge,நீதிபதி,नीतिपति,ꢥꢷꢡꢶꢦꢡꢶ
நீதிமன்றம்  ,court,நியாயஸ்த2லொ,नियायस्थला॑,ꢥꢶꢫꢵꢫꢱ꣄ꢢꢭꣁ
பகை  ,enmity,விரோத்4,विरोद,ꢮꢶꢬꣂꢣ
பணயம்  ,pawn,குதொ3,कुदा॑,ꢒꢸꢣꣁ
பரிசு  ,prize,பொ4கு3மான்/பாரிதோஸிகொ,"भा॑गुमान,    पारितोसिका॑","ꢩꣁꢔꢸꢪꢵꢥ꣄, ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ"
பாதகம்  ,adverse effect,ப்ரதிகூல்,प्रतिकूल,ꢦ꣄ꢬꢡꢶꢒꢹꢭ꣄
பாதுகாப்பு  ,"protection, defence",ரக்ஷணொ,रक्षणा॑,ꢬꢒ꣄ꢯꢥꣁ
பிரதிவாதி  ,defendent,பிரதிவாதி3,पिरतिवादि,ꢦꢶꢬꢡꢶꢮꢵꢣꢶ
பிரமாணம்  ,oath,ஸத்ய ப்ரமாண் / பிரமாண்,"सत्य प्रमाण्, पिरमाण्","ꢱꢡ꣄ꢫꢦ꣄ꢬꢪꢵꢠ꣄, ꢦꢶꢬꢪꢵꢠ꣄"
பிழை  ,error,குண்டு/மந்து,"कुण्टु, मन्तु","ꢒꢸꢠ꣄ꢜꢸ, ꢪꢥ꣄ꢡꢸ"
புரட்சி  ,revolution,க்ராந்தி,क्रान्ति,ꢒ꣄ꢬꢵꢥ꣄ꢡꢶ
போராட்டம்  ,"agitation, struggle",கலஹ ஸ்தி2தி,कलह स्थिति,ꢒꢭꢲ ꢱ꣄ꢢꢶꢡꢶ
போலி  ,duplicate,நகல்,नकल,ꢥꢒꢭ꣄
மரணதண்டனை  ,death sentence,மொரனு த3ண்ட3ணொ,मा॑रनु दण्डणो,ꢪꣁꢬꢥꢸ ꢣꢠ꣄ꢞꢠꣁ
முதலுதவி  ,first aid,பை2ல ஒய்த3பன்,फैल आ॑य्दपन,ꢦꣀꢭ ꢏꢫ꣄ꢣꢦꢥ꣄
முரடன்  ,rowdy,மொரடு3,मा॑रटु,ꢪꣁꢬꢜꢸ
மோதல்  ,clash,தி4க்கினி,धिक्किनि,ꢤꢶꢒ꣄ꢒꢶꢥꢶ
வக்கீல் /வழக்குரைஞர்,advocate,வாது3 கெர்னார் / வாது3னார்,"वादु क॑र्नार, वादुनार","ꢮꢵꢣꢸꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢮꢵꢣꢸꢥꢵꢬ꣄"
வழக்கு  ,case,தா3வொ,दावा॑,ꢣꢵꢮꣁ
வழக்கறிஞர்,advocate,விதி3க்3ஞானி / வக்கீல்,"विदिगञानि, वक्कील","ꢮꢣꢶꢔ꣄ꢛꢵꢥꢶ, ꢮꢒ꣄ꢒꢷꢭ꣄"
வன்முறை  ,violence,உக்3ர க்ரியொ,उग्र क्रिया॑,ꢆꢔ꣄ꢬ ꢒ꣄ꢬꢶꢫꣁ
வாக்குமூலம்  ,statement,தோணு வாக் / ஆதா3ரு வாசு,"दा॑णु वाक, आदारुवाचु","ꢣꣂꢠꢸ ꢮꢵꢒ꣄, ꢃꢣꢵꢬꢸ ꢮꢵꢗꢸ"
வழக்காடுதல்/ வாதம்  ,argument,விவாத்3,विवाद,ꢮꢶꢮꢵꢣ꣄
வாதி  ,plaintiff,வாதி3,वादि,ꢮꢵꢣꢶ
வாபஸ்  ,withdrawal,பி2ர்வி கள்ளஸ்தே/ வாபஸ் க2ள்ளஸ்தே,"फिरिवि खल्लस्ते,   वापस खल्लस्ते","ꢧꢶꢬ꣄ꢮ ꢓꢳ꣄ꢳꢱ꣄ꢡꢾ, ꢮꢵꢦꢱ꣄ ꢓꢳ꣄ꢳꢱ꣄ꢡꢾ"
வாரண்டு  ,warrant,கைது3 பத்ரொ,कैदु पत्रा॑,ꢒꣀꢣꢸ ꢦꢡ꣄ꢬꣁ
விசாரணை / விசாரிப்பு  ,enquiry,விசாரணொ,विचारणा॑,ꢮꢶꢗꢵꢬꢠꣁ
விடுதலை  ,release,ப4ராட்ஸொட்3னி,भराट् सा॑ड्नि,ꢩꢬꢵꢜ ꣄ꢱꣁꢞ꣄ꢥꢶ
விதி  ,rule,நியமொ,नियमा॑,ꢥꢶꢫꢪꣁ
விபத்து  ,accident,விப3த்து,विपत्तु,ꢮꢶꢦꢡ꣄ꢡꢸ
விரோதம்  ,enmity,விரோத்4,विरोध्,ꢮꢶꢬꣂꢤ꣄
வெடிகுண்டு,bomb,குண்டு3,कुण्डु,ꢒꢸꢠ꣄ꢞꢸ
வேலைநிறுத்தம்,strike,ப3ந்த்4,बन्ध,ꢨꢥ꣄ꢤ꣄
ஜாமீன்  ,bail,ஜமீன்,जमीन,ꢙꢪꢷꢥ꣄
 ,,,,
