அங்கீகாரம்  ,recognition,அங்கீ3கார்,अङ्गीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
அரசன்  ,king,ரஜொ/ராட்/பூ4பொ/பூ4பதி,"रजा॑, राट, भूपा॑, भूपति","ꢬꢙꣁ, ꢬꢵꢜ꣄, ꢩꢹꢦꣁ, ꢩꢹꢦꢡꢶ"
அரசி  ,queen,ரணி/ராடளி,"रणि, राटाळि","ꢬꢠꢶ, ꢬꢵꢜꢳꢶ"
அரசியல்  ,politics,ராஜநீதி,राजनीति,ꢬꢵꢙꢥꢷꢡꢶ
அரசியல் சட்டம்   ,constitution,ஸம்ஸ்தா2பனொ/ ஸம்விதா4,"सम्स्थापना॑, सम्विधा","ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ, ꢱꢪ꣄ꢮꢶꢤꢵ"
அரசியல்வாதி  ,politician,ராஜநீதிவான்,राजनीतिवान,ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄
அரசு  ,government,ஸர்கார்/ராஜாங்கு3,"सर्कार, राजाङ्गु","ꢱꢬ꣄ꢒꢵꢬ꣄, ꢬꢵꢙꢵꢖ꣄ꢔꢸ"
அரசமாளிகை  ,government house,ராஜ்ப4வன்,राज्भवन,ꢬꢵꢙ꣄ꢩꢮꢥ꣄
அரண்மனை  ,palace,ரவுள் / ப்ராஸாதொ3,"रवुळ्, प्रासादा॑","ꢬꢮꢸꢳ꣄, ꢦ꣄ꢬꢵꢱꢵꢣꣁ"
அலகு  ,unit,ஏகக்/இகாய்,"एकक्, इकाय","ꢍꢒꢒ꣄, ꢄꢒꢵꢫ꣄"
அலை,wave,லாட்,लाट्,ꢭꢵꢜ꣄
அலுவலகம்  ,office,கார்யாலயொ,कार्यालया॑,ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ
அலுவலகமொழி  ,official language,கார்யாலய பா4ஷொ,कार्यालय भाषा॑,ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ
அதிகாரி,officer,அத்காரி,अत्कारि,ꢂꢡ꣄ꢒꢵꢬꢶ
அவசரச்சட்டம்  ,emergency rule,அவ்ஸரு ஸாஸனொ/ ஆபத்காலு ஸாஸனொ,"अव्सरु सासना॑, आपत्कालु सासना॑","ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ, ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ"
அவசரநிலை  ,emergency,அவ்ஸர் ஸ்தி2தி,अव्सर्स्थिति,ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ
அழைப்புமணி  ,calling bell,பொ3வ்நி கா4ட்,बा॑व्निघाट्,ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄
பரிமாணம்,size,பரிமாண்,परिमाण,ꢦꢬꢶꢪꢵꢠ꣄
அறிக்கை  ,report,ப்ரகடனொ/ ஆவேத3னொ/ விஷயகளட்3ணி,"प्रकटना॑, आवेदना॑, विषयकळट्णि","ꢦ꣄ꢬꢒꢜꢥꣁ, ꢃꢮꢿꢣꢥꣁ, ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ"
அறிவிப்பாளர்  ,announcer,ப்ரகட்3ணார்/ ப்ரகட3ணொ கெர்னார்/        விஷயு களட்3னார்,"प्रकड्णार, प्रकडणा॑ क॑र्नार, विषयु कळड्नार","ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄, ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄"
அறிவிப்பு  ,"notice, announcement",ஸூசனொ,सूचना॑,ꢱꢹꢗꢥꣁ
அறிவிப்புப் பலகை   ,notice board,ஸூசனாபொல்கொ,सूचना पा॑ल्का॑,ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ
அனுமதி  ,permission,அனுமத்,अनुमत्,ꢂꢥꢸꢪꢡ꣄
அனுமதிச் சீட்டு   ,permit,அனுமத்ஸூசி,अनुमत्सूचि,ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ
அனுபவம்  ,experi ence,அனுப4வ்,अनुभव,ꢂꢥꢸꢩꢮ꣄
ஆக்கிரமிப்பு  ,encroachment,கப்3ஜொ/ஆக்ரமணொ,"कब्जा॑, आक्रमणा॑","ꢒꢨ꣄ꢙꣁ, ꢃꢒ꣄ꢬꢪꢠꣁ"
ஆட்சி  ,rule,ஸாஸனொ/ ஸௌஸஸ்தே/ ஸௌஸினி,"सासना॑, सौसस्ते, सौसिनि","ꢱꢵꢱꢥꣁ, ꢱꣃꢱꢱ꣄ꢡꢾ, ꢱꣃꢱꢶꢥꢶ"
ஆட்சிமொழி  ,administrative language,ராஜ்யபா4ஷொ,राज्य भाषा॑,ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ
ஆணை  ,order,ஆஜ்ஞொ,आजञो,ꢃꢙ꣄ꢛꢾ
ஆணையம்  ,commission,நியோகொ3/ ஆயோக்3,"नियोगा॑, आयोग","ꢥꢶꢫꣂꢔꣁ, ꢃꢫꣂꢔ꣄"
ஆணையர்  ,commissioner,நியோகி3 / ஆயோகி3,"नियोगि, आयोगि","ꢥꢶꢫꣂꢔꢶ, ꢃꢫꣂꢒꢶ"
ஆதரவு  ,support,அத்3லன்/அத்3னி,"अद्लन, अद्नि","ꢂꢣ꣄ꢭꢥ꣄, ꢂꢣ꣄ꢥꢶ"
ஆதாயம்  ,profit,லாப்3/அதா3வ்,"लाब्, अदाव","ꢭꢵꢨ꣄, ꢂꢣꢵꢮ꣄"
ஆதிக்கம்  ,domination,ப்ரபு4த்வொ/அர்க்யார்/ஆதி4பத்யொ,"प्रभुत्वा॑, अर्क्यार, आधिपत्या॑","ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ, ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄, ꢃꢤꢶꢦꢡ꣄ꢫꣁ"
ஆயத்தீர்வை  ,excise duty,உத்பாத3னஸுல்கொ,उत्पादनसुल्को,ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ
ஆயம்  ,tax,ஸுல்கொ/கரொ,"सुल्का॑, करा॑","ꢱꢸꢭ꣄ꢒꣁ, ꢒꢬꣁ"
ஆயுள் தண்டனை    ,life imprisonment,ஆயுஸ்த3ண்ட3னொ,आयुस्दण्डना॑,ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ
ஆர்வம்  ,zeal,உத்ஸாஹ்/கவ்துகொ,"उत्साह, कव्तुका॑","ꢆꢡ꣄ꢱꢵꢲ꣄, ꢒꢮ꣄ꢡꢸꢒꣁ"
ஆலோசனை  ,suggestion,ஆலோஸனொ/ அபி4ப்ராயு,"आलोसना॑, अभिप्रायु","ꢃꢭꣂꢱꢥꣁ, ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ"
ஆவணம்  ,record/document,லிகெ2பத்தர்/      லேக2 ப்ரமாணொ,"लिख॑पत्तर, लेख प्रमाणा॑","ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄, ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ"
ஆளுங்கட்சி  ,ruling party,ஸாஸனபக்ஷொ,सासन पक्षो,ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ
ஆளுநர்  ,governor,ராஜ்பால்,राज्पाल्,ꢬꢵꢙ꣄ꢦꢵꢭ꣄
ஆளுமை  ,governance,ராஜபாலனொ,राज्पालना॑,ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ
இசைவு  ,"consent, accord",ஒப்பிலினி / ஸம்மத்,"आ॑प्पिलिनि, सम्मत","ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ, ꢱꢪ꣄ꢪꢡ꣄"
இடைக்கால அரசு   ,interim government,கப3ந்து3ஸர்கார்,कबन्दु सर्कार्,ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄
இடைக்காலத் தடை   ,interim stay,அந்தர்நிஷேத்4/ம:த்3தி3மு ஹிப்3ப3ட்3ணி,"अन्तर्निषेध, म्हद् मद्दिमु हिब्बड्णि","ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄, ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ"
இடைத்தரகர்  ,"middle man,  broker",தெர்களி/ம:த்3யவர்தி,"तेर्कलि, म्हद्यवर्ति","ꢣꢾꢬ꣄ꢒꢭꢶ, ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ"
இடைத்தேர்தல்  ,mid-term pole,அவ்ட3காலுசுனாவ்,अव्डकालु चुनाव,ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄
இடைநிறுத்தம்  ,suspension/interruption,ம:த்3தி3ம்  ஹிப்3ப3ட்3ணி / அவலம்ப3னொ/ தத்காலு ஹிப்3ப3ட்3ணி,"म्हद्दिमहिब्बड्णि अवलम्बना॑, तत्कालु हिब्बड्णि","ꢪꢴꢣ꣄ꢣꢶꢪ꣄   ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ, ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ, ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ"
இணக்கம்  ,accordance,எண்கி3னி/அனுரூபதொ,"ए॑ण्गिनि, अनुरूपता॑","ꢌꢠ꣄ꢔꢶꢥꢶ, ꢂꢥꢸꢬꢹꢦꢡꣁ"
இணையமைச்சர்  ,minister for state,ஸஹ மந்திரி,सह मन्तिरि,ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ
இணைப்புமொழி  ,link language,செர்சன்பா4ஷொ/ ஸந்தி3 பா4ஷொ,"च॑र्चन्भाषा॑, सन्दि भाषा॑","ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ, ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ"
இணையம்  ,federation,ஸம்யுக்த ஸங்கொ4,सम्युक्त सङ्घा॑,ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ
இதழ்  ,issue (magazine),ஸஞ்ஜிகொ,सञ्जिका॑,ꢱꢛ꣄ꢙꢶꢒꢾ
இந்திய ஆட்சிப்பணி   ,Indian Admini strative Service,பா4ரதநிர்வாஹுஸேவொ,भारत निर्वाहु सेवा॑,ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ
இந்தியக் குற்றவியல் சட்டம்    ,Indian Penal Code-IPC,பா4ரதஅபராது4 ஸாஸனொ,भारत अपराधु सासना॑,ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ
இயக்கம்  ,movement,ஆந்தோ3ல்,आन्दोल,ꢃꢥ꣄ꢣꣂꢭ꣄
இயக்ககம்,directorate,கார்யாலய ஸங்க3மொ,कार्यालय सङ्गमा॑,ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ
இயக்குநர்  ,director,நிர்வாஹி / நிர்தே3ஸக்/ அத்4யக்ஷொ,"निर्वाहि, निर्देसक,  अध्यक्षो","ꢥꢶꢬ꣄ꢮꢵꢲꢶ, ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄, ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ"
இயல்  ,chapter,அத்3யாய்,अद्याय,ꢂꢣ꣄ꢫꢵꢫ꣄
இராட்டை  ,charkha,சர்கா,चर्का,ꢗꢬ꣄ꢒꢵ
இருப்பு  ,"stock, balance",உராவ்ஸொராவ்,उराव्सा॑राव,ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄
இலக்கு  ,target,லக்ஷ்யொ,लक्ष्या॑,ꢭꢒ꣄ꢰꢫꣁ
இலச்சினை  ,"stamp, seal",முத்3ரொ,मुद्रा॑,ꢪꢸꢣ꣄ꢬꣁ
இலாகா  ,department,விபா4க்3,विभाक,ꢮꢶꢩꢵꢒ
இளவரசன்  ,prince,யுவராட்,युवराट्,ꢫꢸꢮꢬꢵꢜ꣄
இளவரசி  ,princess,யுவராணி/யுவராஜ்ஞி,"युवराणि, युवराजञि","ꢫꢸꢮꢬꢵꢠꢶ, ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ"
இறக்குமதி  ,import,ஹுத்துராவ்/ ஹுத்துராட்,"हुत्तुराव, हुत्तुराट","ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄, ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄"
ஈடு  ,compensation,ப்ரதிபோ2ள்,प्रतिफोळ,ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄
உச்சவரம்பு  ,ceiling,உஞ்சமிதி,उञचमिति,ꢆꢖ꣄ꢙꢪꢶꢡꢶ
உடந்தை  ,abetment,உள்ளு,उळ्ळु,ꢆꢳ꣄ꢳꢸ
உடன்படிக்கை  ,"agreement, treaty, pact",ஸஹசார்/ஸந்தி4,"सहचार्, सन्धि","ꢱꢲꢗꢵꢬ꣄, ꢱꢥ꣄ꢤꢶ"
உடனுறவு  ,co - relation,பரஸ்பர ஸம்மந்தொ3/ பரஸ்பர ஒஸ்தபன்,"परस्पर सम्मन्दा॑, परस्पर आ॑स्तपन","ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ, ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄"
உணவுத்துறை  ,food department,ஆஹாரு விபா4க்3 / க2னி விபா4க்3,"आहारु विभाग, खनिविभाग","ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄, ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄"
உத்தரவாதம்  ,guarantee,உத்தரவாத்3,उत्तरवाद,ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄
உத்தரவு,order,ஆக்குதொ,आक्कुtaaq,ꢃꢒ꣄ꢒꢸꢣꣁ
உதவி  ,aid,ஸஹகார் / ஸஹாவ்,"सहकार, सहाव","ꢱꢲꢒꢵꢬ꣄, ꢱꢲꢵꢮ꣄"
உதவி அமைச்சர்   ,assistant minister,உப மந்திரி,उप मन्तिरि,ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ
உதவித்தூதரகம்   ,consulate,உப தூ4தநிவாஸ்,उप दूत निवास्,ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄
உதவிப்பணம்  ,stipend,வேதனொ,वेतना॑,ꢮꢿꢡꢥꣁ
உபரி  ,surplus,உபிர்/வேன்/அத்3தி3/ அதிரிக்த,"उपिर, वेन, अद्दि, अतिरिक्त","ꢆꢦꢶꢬ꣄, ꢮꢿꢥ꣄, ꢂꢣ꣄ꢣꢶ, ꢂꢡꢶꢬꢶꢒ꣄ꢡ"
உயில்  ,will,இச்சா பத்தர்,इच्चा पत्तर,ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄
உரிமம்  ,licence,அனுக்ஞாபத்ரொ,अनुकञा पत्रा॑,ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ
உரிமை  ,right,பா3த்3யொ,बाद्या॑,ꢨꢵꢣ꣄ꢫꣁ
உரிமையாளர்  ,"owner, proprietor",பா3த்3யவான்,बाद्यवान्,ꢨꢞ꣄ꢫꢮꢵꢥ꣄
உழவர்  ,farmer,ஜுனத்வான்/கே2தி,"जुनत्वान, खेति","ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄, ꢓꢿꢡꢶ"
உள்துறை  ,home department,க்3ரஹ விபா4க்3,ग्रह विभाग,ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄
உள்ளடக்கம்  ,content,விஷய ஸூசிகொ,विषयसूचिका॑,ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ
உள்ளாட்சி  ,local ad ministration,அந்தர்ராஜ்ஜி,अन्तर्राज्जि,ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ
உள்ளீடு  ,input,நிவேஷ்யொ,निवेष्या॑,ꢥꢶꢮꢿꢰ꣄ꢫꣁ
உற்பத்தி  ,production,உத்பத்3/ உத்பாத3னொ,"उत्पद, उत्पादना॑","ꢆꢡ꣄ꢦꢣ꣄, ꢆꢡ꣄ꢦꢵꢣꢥꣁ"
உறுதிமொழி  ,oath,தி4ட3வாக்,धिडवाक,ꢤꢶꢞꢮꢵꢒ꣄
உறுப்பினர்  ,member,அங்க3ஸ்து2,अङ्गस्थु,ꢂꢖ꣄ꢔꢱ꣄ꢢꢸ
ஊதியம்  ,"salary, emo luments",ஸொம்பு3ளொ/ வேதனொ,"सोम्बुळा॑,   वेतना॑","ꢱꣁꢪ꣄ꢨꢸꢳꣁ, ꢮꢾꢡꢥꣁ"
ஊர்தி  ,vehicle,வாஹனொ,वाहना॑,ꢮꢵꢲꢥꣁ
ஊர்வலம்  ,procession,ஜான்வாஸ்/ ஸோபா4 யாத்ரொ/ ஒராத் / சுட்டு,"जान्वास, सोभा यात्रा॑, ओरात, चुट्टु","ꢙꢵꢥ꣄ꢮꢵꢱ꣄, ꢱꣂꢩꢵꢫꢵꢡ꣄ꢬꣁ,ꢏꢬꢵꢡ꣄, ꢗꢸꢜ꣄ꢜꢸ"
ஊரகம்  ,rural,க்3ராம்யொ,गिराम्या॑,ꢔꢶꢬꢵꢪ꣄ꢫꣁ
ஊரடங்கு  ,curfew,கா3மண்சன்/ஸஞ்சாரு நிஷேத4னொ,"गामण्चन्, सञचारु निषेधना॑","ꢔꢵꢪꢠ꣄ꢗꢥ꣄, ꢱꢛ꣄ꢗꢵꢬꢸ ꢥꢰꢿꢤꢥꣁ"
ஊராட்சி  ,panchayat,பஞ்சாயத் ராஜ்ஜி,पञ्चायत्राज्जि,ꢦꢠꢖ꣄ꢗꢵꢫꢡ꣄ ꢬꢵꢙ꣄ꢙꢶ
ஊராட்சி ஒன்றியம்   ,panchayat union,பஞ்சாயதுகே4ர்,पञ्चायघेर्,ꢦꢖ꣄ꢗꢵꢫꢡꢕꢿꢬ꣄
ஊழல்  ,corruption,ப்3ரஷ்டாசார்/ மலினாசார்,"ब्रष्टाचार, मलिनाचार","ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄, ꢪꢭꢶꢥꢵꢗꢵꢬ꣄"
ஊழியம்  ,service,ஸேவொ,सेवा॑,ꢱꢿꢮꣁ
ஊழியர்  ,servant,ஸேவகொ/ ஸேவொ கெர்னார்,"सेवका॑, सेवा॑ केर्नार","ꢱꢿꢮꢒꣁ, ꢱꢿꢮꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄"
எண்பலகை  ,number plate,ஸங்க்2யா பொல்கொ,सङ्खयापा॑ल्का॑,ꢱꢖ꣄ꢓ꣄ꢫꢵꢦꣁꢭ꣄ꢒꣁ
எதிர்க்கட்சி  ,opposition party,விப4க்ஷு,विभक्षउ,ꢮꢶꢩꢒ꣄ꢰꢸ
எதிர்பார்ப்பு  ,expectation,தோக்ஸனி/ப்ரதீக்ஷொ,"दोक्सनि, प्रतीक्षो","ꢡꣂꢒ꣄ꢱꢥꢶ, ꢦ꣄ꢬꢡꢷꢒ꣄ꢰꣁ"
எதிரொலி  ,echo,ப்ரதி த்4வனி,प्रति ध्वनि,ꢦ꣄ꢬꢡꢶꢤ꣄ꢮꢥꢶ
எதிரொளி  ,reflection,ப்ரதிஸாயா/         ப்ரதி பி3ம்பு3,"प्रतिचाया,    प्रति बिम्बु","ꢦ꣄ꢬꢡꢶꢗꢵꢫꢵ, ꢦ꣄ꢬꢡꢶ ꢨꢶꢪ꣄ꢨꢸ"
எதேச்சாதிகாரி  ,autocrat,ஏகாதி4பதி/ ஸ்வேச்சாசாரி,"एकाधिपति, स्वेच्चाचारि","ꢍꢒꢵꢤꢶꢦꢡꢶ, ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬꢶ"
எல்லை  ,border,எல்கெ3/அத்3து3/ ஸீமொ,"एल्ग॑, अद्दु, सीमा॑","ꢌꢭ꣄ꢔꢾ, ꢂꢣ꣄ꢣꢸ, ꢱꢷꢪꣁ"
எல்லைத்தகராறு  ,border dispute,ஸீமா தெகு3ரால்/ அத்3து3 தெகு3ரால்,"सीमा त॑गुराल, अद्दु त॑गउराल","ꢱꢷꢪꢵ ꢡꢾꢔꢸꢬꢵꢭ꣄, ꢂꢣ꣄ꢣꢸ ꢡꢾꢔꢸꢬꢵꢭ꣄"
எழுத்தர்  ,clerk,லிபிகொ/கு3மஸ்தொ,"लिपिका॑, गुमस्ता॑","ꢭꢶꢦꢶꢒꣁ, ꢔꢸꢪꢱ꣄ꢡꣁ"
எழுத்தறிவு  ,literacy,செது3வு ஞான்,च॑दुवु ञान,ꢗꢾꢣꢸꢮꢸ ꢛꢵꢥ꣄
எழுதுபொருள்  ,stationary,லேக2ன ஸாமக்3ரி / லேக2வஸ்து,"लेखन सामग्रि, लेखवस्तु","ꢭꢿꢓꢥꢱꢵꢪꢔ꣄ꢬꢶ, ꢭꢿꢓꢮꢱ꣄ꢡꢸ"
எஜமான்  ,master,எஜமான்/மொத்3ரளி,"एजमान, मा॑द्रळि","ꢌꢙꢪꢵꢥ꣄, ꢪꣁꢣ꣄ꢬꢳꢶ"
ஏகாதிபத்தியம்  ,autocracy,ஸ்வேச்சாசார்,स्वेच्चाचार,ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬ꣄
ஏகாதிபதி / சர்வாதிகாரி,autocrat/ dictator,ஏகாதி4பதி/ஸர்வாதிகாரி,"एकाधिपति, सर्वातिकारि","ꢍꢒꢵꢤꢶꢦꢡꢶ, ꢱꢬ꣄ꢮꢵꢡꢶꢒꢵꢬꢶ"
ஏற்பாடு  ,arrangement,அனுக்ரமொ,अनुक्रमा॑,ꢂꢥꢸꢒ꣄ꢬꢪꣁ
ஏற்பு/ஒப்புதல்,acceptance,ஸ்வீகார்/அங்கீ3கார்/ஒப்பில்னி,"स्वीकार, अङ्गीकार, आ॑प्पिल्नि","ꢱ꣄ꢮꢷꢒꢵꢬ꣄, ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄, ꢏꢦ꣄ꢦꢶꢭ꣄ꢥꢶ"
ஏற்ற இறக்கம்   ,fluctuation,உஞ்ச கா2ல்,उञ्च खाल्,ꢆꢖ꣄ꢗ ꢓꢵꢭ꣄
ஏற்றுமதி  ,export,ஹிங்கா3வ்/ நிர்யாத்/ஹிங்கா3ட்,"हिङ्गाव्, निर्यात, हिङ्गाट","ꢲꢶꢖ꣄ꢔꢵꢮ꣄, ꢥꢶꢬ꣄ꢫꢵꢡ꣄, ꢲꢶꢖ꣄ꢔꢵꢜ꣄"
ஐக்கிய நாடுகள் சபை    ,United Nations Organisation,ஐக்ய ராஷ்ட்ர ஸம்ஸ்தான்,ऐक्य राष्ट्र सम्स्तान,ꢎꢒ꣄ꢫ ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄ 
ஐக்கிய முன்னணி   ,United Front,ஐக்ய அக்3ரணி,ईक्य अग्रणि,ꢎꢒ꣄ꢫ ꢂꢔ꣄ꢬꢠꢶ
ஒத்திவைப்பு  ,adjournment,தொ3ப்3பி3 தொ2வ்னி,"दा॑ब्बि थोव्नि, ",ꢣꣁꢦ꣄ꢦꢵ ꢢꣁꢮ꣄ꢥꢶ
ஒத்துழைப்பு  ,co-operation,ஸஹகார்/ ஸஹயோக்3,"सहकार्, सहयोग","ꢱꢲꢒꢵꢬ꣄, ꢱꢲꢫꣂꢔ꣄"
ஒதுக்கீடு  ,allotment,விபா4ஜனொ,विभाजना॑,ꢮꢶꢩꢵꢙꢥꣁ
