alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஸே,sE,"இருக்கிறது, உள்ளது","Is, Has, Have",தெகொ3ஜொவள் ஒண்டெ செடா3வ் ஹொயெ பொ3ண்டி3 ஸே,tegojovaL oNTe ceDaav hoye boNDi sE,அவரிடம் ஒரு உயர்ந்த கார் உள்ளது,He has a superior car
ந்ஹீ,nhee,இல்லை,"Do not have, Does not have, Has no, Have no",மொரெஜொவல் ந்ஹீ. தெகொ3ஜொவள் மெல்லொ ந்ஹீ,morejoval nhee. tegojovaL mello nhee,என்னிடம் இல்லை. அவளிடம் கூட இல்லை,I do not have it. She doesn’t have that either
ந்ஹீ,nhee,இல்லை,"Am not, Is not, Was not, Were not",தேட் காய் ந்ஹீ?,tET kaay nhee?,அங்கு என்ன இல்லை?,What is not there?
ந்ஹீ,nhee,இல்லை,"No, Nope",ஹிந்தொ3 பொள்டம் ந்ஹீ,hindo poLTam nhee,இன்று பாடசாலை இல்லை,No school today
"ந்ஹா, ந்ஹானா","nhaa, nhaanaa",அல்ல,Not,மீ தெனொ ந்ஹா,mee teno nhaa,நான் அவன் இல்லை,I am not him
ந்ஹிநாத்தொ,nhinaatto,இல்லாமல்,Without,துமி ந்ஹிநாத்தொ காம் சல் ர்ஹானா,tumi nhinaatto kaam cal rhaanaa,நீங்கள் இல்லாமல் வேலை நடந்திருக்காது,The work would not have happened without you
"ந்ஹாத்தொ, ந்ஹாத்தக்","nhaatto, nhaattak",இல்லாமல்,Without,அமி ஸில்லொ வரா பெடி ந்ஹாத்தக் கெஷ்டம் பொட்டியா,ami sillo varaa peTi nhaattak keshTam poTTiyaa,நாங்கள் குளிரூட்டி இல்லாமல் அவதிப்பட்டோம்,We suffered without air conditioning
வினா,vinaa,இல்லாமல்,Without,நம்ரதொ வினா ஈகு3 ஹால் காய் பிர்ஜனம்?,namrato vinaa eegu haal kaay pirjanam?,பணிவு இல்லாமல் கல்வியால் என்ன பயன்?,What is the use of education without humility?
ஹொதெ3ஸ்,hodes,இருந்தது,"Was, Had",நெத்3தி3 பூராக் ஸுக்கி ஹொதெ3ஸ்,neddi pooraak sukki hodes,ஆறு முற்றிலும் வறண்டு இருந்தது,The river was completely dry
ர்ஹா,rhaa,இரு,Be,கொ2ப்3பி3ம் ஸொந்தோஷ்கன் ர்ஹா,khobbim sontOshkan rhaa,எப்பொழுதும் மகிழ்ச்சியாக இரு,Always be happy
ர்ஹாத்தெ,rhaatte,இருப்பது,Being,கோ3 பி3ஸி ர்ஹாத்தெ சொக்கட் ந்ஹா,gO bisi rhaatte cokkaT nhaa,சும்மா இருப்பது நல்லதல்ல,Being idle is not good
ர்ஹாய்,rhaay,இருக்கும்,(it) Will be,"ஹாய், தெல்லெ தேட் ர்ஹாய்","haay, telle tET rhaay","ஆம், அது அங்கே இருக்கும்","Yes, it will be there"
ர்ஹவு,rhavu,இருப்பேன்,(I) Will be,ஹொல்ல வாரும் மீ அமெரிக்காம் ர்ஹவு,holla vaarum mee amerikkaam rhavu,அடுத்த வாரம் நான் அமெரிக்காவில் இருப்பேன்,I will be in the US next week
ர்ஹான்,rhaan,இருப்பார்கள்,(They) Will be,தெனு கிரிக்கெட் ஸிலேத் ர்ஹான்,tenu kirikkeT silEt rhaan,அவர்கள் கிரிக்கெட் பார்த்துக் கொண்டிருப்பார்கள்,They will be watching cricket
ர்ஹவெ,rhave,இருப்போம்,(We) Will be,அமி துங்கொ3 ஆத3ரொகன் ர்ஹவெ,ami tunggo aadarokan rhave,நாங்கள் உங்களுக்கு ஆதரவாக இருப்போம்,We will be supporting you
ர்ஹவாய்,rhavaay,இருக்கலாம்,May be,துங்கொ3 எல்லெ களயி ர்ஹவாய்,tunggo elle kaLayi rhavaay,நீங்கள் இதை அறிந்திருக்கலாம்,You may be aware of this
ர்ஹானா,rhaanaa,இருக்காது,"May not be, Will not be",தெல்லெ அங்கி3டி3ம் பா4த் சோட் ர்ஹானா,telle anggiDim bhaat cOT rhaanaa,அந்த கடையில் சாப்பாடு நன்றாக இருக்காது,The food at that shop may not be good
ர்ஹவானா,rhavaanaa,இருக்க முடியாது,Can not be,மொரெஹால் ஜு2கு3தி3 ஏட் ர்ஹவானா,morehaal jhugudi ET rhavaanaa,என்னால் ரொம்ப நாள் இங்கே இருக்க முடியாது,I can not be here for long
ர்ஹாத்தக் முஸுனா,rhaattak musunaa,இருக்க முடியாது,Can not be,தெகொ3ஹால் அபுல் பெ3டா3க் ஸொட்3டி3 ர்ஹாத்தக் முஸுனா,tegohaal apul beDaak soDDi rhaattak musunaa,அவளால் தன் மகனை விட்டு விலகி இருக்க முடியாது,She cannot be away from her son
ர்ஹாத்தக்,rhaattak,"இருப்பதற்கு, இருக்க",To be,மீ ஏட் ர்ஹாத்தக் ஜு2கு3 காரணான் ஸே,mee ET rhaattak jhugu kaaraNaan sE,நான் இங்கு இருப்பதற்கு காரணங்கள் உள்ளன,I have reasons to be here
ர்ஹாத்தொ,rhaatto,"இருப்பதற்கு, இருக்க",To be,தெனு ஸிங்க3ய்த்கன் ர்ஹாத்தொ யத்னு கெரராஸ்,tenu singgaytkan rhaatto yatnu keraraas,அவர் நண்பராக இருக்க முயற்சிக்கிறார்,He is trying to be friend
ர்ஹாந்தொ3,rhaando,இருக்கட்டும்,Let it be,தெல்லெ தேடுஸ் ர்ஹாந்தொ3,telle tETus rhaando,அது அங்கேயே இருக்கட்டும்,Let it be there
ர்ஹதொ,rhato,இருக்கும் போது,While being,மீ ஆங்கு3 து4வ்லேத் ர்ஹதொ தூ3ர்வதி3னி ஹனெஸி,mee aanggu dhuvlEt rhato doorvadini hanesi,நான் குளித்துக்கொண்டு இருக்கும் போது தொலைபேசி அடித்தது,The phone rang while I am taking bath
ஹோந்தொ3,hOndo,"ஆகட்டும், சரி","So be it, Ok, Okey, Okay","ஹோந்தோ3, ஸியென்","hOndO, siyen","ஆகட்டும், பார்க்கலாம்","Okey, Let us see"
ஹோய்,hOy,"நடக்கும், ஆகும்","Will happen, Going to happen, Would happen",இஸனி ஹோய் மெனி கோன் ஹவ்டி3 ஸியாஸ்?,isani hOy meni kOn havDi siyaas?,இப்படி ஆகும் என்று யார் நினைத்தார்கள்?,Who thought it is going to happen like this?
ஹோனா,hOnaa,"கூடாது, ஆகாது","Should not, Will not",திஸனி சல ஹோனா,tisani cala hOnaa,அது போல் நடக்கக் கூடாது,It should not happen like that
கொல்லெ,kolle,எது,Which,தொகொ3 கொல்லெ ஒப்பாரஸ்?,togo kolle oppaaras?,உனக்கு எது பிடித்துள்ளது?,Which one you like?
எல்லெ,elle,"இது, இந்த, இவை","This, These",துங்கொ3 எல்லெ ஒப்பாரஸ்யா?,tunggo elle oppaarasyaa?,உங்களுக்கு இது பிடிக்கிறதா?,Do you like this?
தெல்லெ,telle,"அது, அந்த, அவை","It, That, Those",தொகொ3 தெல்லெ ஒப்பாரஸ்யா?,togo telle oppaarasyaa?,உனக்கு அது பிடிக்கிறதா?,Do you like that?
மொரெ,more,என்னுடைய,My,தெனு மொரெ ப4ய்,tenu more bhay,அவர் என் சகோதரன்,He is my brother
தொரெ,tore,உன்னுடைய,Your,தொரெ நாவ் காயொ?,tore naav kaayo?,உன் பெயர் என்ன?,What is your name?
தொரொ,toro,உன்னுடைய,Your,தெனொ தொரொ ஸொகன் ஸே,teno toro sokan sE,அவன் உன்னைப் போலவே இருக்கிறான்,He looks like you
அவ்ரெ,avre,எங்களுடைய,Our,அவ்ரெ கே4ர் அவொ,avre ghEr avo,எங்கள் வீட்டிற்கு வாருங்கள்,Come to our house
துரெ,ture,உங்களுடைய,Your,துரெ போ3 பொ3வராஸ்,ture bO bovaraas,உங்கள் தந்தை அழைக்கிறார்,Your father is calling
அம்ரெ,amre,நமது,Our,பா4ரத் அம்ரெ தே3ஶு,bhaarat amre dEssu,இந்தியா நமது நாடு,Our country is India
ஔரொ,auro,நம்முடைய,Our,ஔரொ கொல்லெ?,auro kolle?,எது நம்முடையது?,Which is our?
"அபுல், அபுல்யொ","apul, apulyo","சொந்தம், சொந்தமான",Own,தெனு அபுல் பொ3ண்டிக் விக்யாஸ்,tenu apul boNTik vikyaas,அவர் தன் சொந்த காரை விற்றார்,He sold his own car
அபுல்,apul,"தன்னுடைய, தம்முடைய","His / Her, One's own, Own",அமி அபுல் தே3ஶுக் ப்ராமொ கெர்னொ,ami apul dEssuk praamo kerno,நாம் நம் நாட்டை நேசிக்க வேண்டும்,We must love our country
அபுலான்,apulaan,தங்களுடைய,"Their, Their own",தெனு அபுலான் கா3முக் நிகி3ள்டியா,tenu apulaan gaamuk nigiLTiyaa,அவர்கள் தங்கள் ஊருக்குப் புறப்பட்டனர்,They left for their town
அப்லானும்,aplaanum,"தன்னால், தன்னில், தமக்குள்","By itself, Within itself / themselves",தெனு ஆஸ்திக் அபுலானும் விக்கராஸ்,tenu aastik apulaanum vikkaraas,அவர்கள் சொத்துக்களை தங்களுக்குள் விற்கிறார்கள்,They sell the properties among themselves
கொங்கொ3(க்),konggo(k),"யாருக்கு, யாரை, எவரை, எவனை","To Who(m), Whom",துமி கொங்கொ3 ஸாத்தக் ஜாரியொ?,tumi konggo saattak jaariyo?,நீங்கள் யாரை பார்க்கப்போகிறீர்கள்?,Whom are you going to see?
மொகொ3,mogo,"எனக்கு, என்னை",Me,மொகொ3 எல்லெ ஒண்டெ ஸமாசார்,mogo elle oNTe samaacaar,இது எனக்கு ஒரு செய்தி,This is news to me
தொகொ3,togo,"உனக்கு, உன்னை",To you,தொகொ3 காய் பஜெ மெனெத்தெ பை2லாம் ஸங்கி3,togo kaay paje menette phailaam sanggi,உனக்கு என்ன வேண்டும் என்பதை முதலில் சொல்லு,Tell me first what you want
அவ்ங்கொ3,avnggo,"எங்களுக்கு, நமக்கு",Us,அவ்ரெ மமொ அவ்ங்கொ3 ஜேமு தி3யாஸ்,avre mamo avnggo jEmu diyaas,எங்கள் மாமா எங்களுக்கு பரிசு கொடுத்தார்,Our uncle gave us a gift
துங்கொ3,tunggo,உங்களுக்கு,To you,எல்லெ துங்கொ3 கோன் ஸங்கெ3யொ?,elle tunggo kOn sanggeyo?,இதை உங்களுக்கு யார் சொன்னது?,Who told you this?
எகொ3,ego,"இவனுக்கு, இவளுக்கு, இவனை, இவளை","To him, To her, Him, Her",எகொ3 இஸனி ஹோய் மெனி கொங்கொ3க் களாய்,ego isani hOy meni konggok kaLaay,இவளுக்கு இப்படி நடக்கும் என்று யாருக்குத் தெரியும்,Who knew this would happen to her
தெகொ3,tego,"அவனுக்கு, அவளுக்கு, அவனை, அவளை","To him, To her, Him, Her",தெல்லெ தெகொ3 சல்ர்ஹியெத் களய் ர்ஹாய்,telle tego calrhiyet kaLay rhaay,அது அவனுக்கு நடந்திருந்தால் புரிந்திருக்கும்,It would have made sense if it had happened to him
எங்கொ3,enggo,இவர்களுக்கு,To them,துமி எங்கொ3 லிக்யாஸ்யா?,tumi enggo likyaasyaa?,நீங்கள் இவர்களுக்கு எழுதினீர்களா?,Did you write to them?
தெங்கொ3,tenggo,அவர்களுக்கு,To those,துமி மிளரியொ தெங்கொ3 நமஸ்கார் மெல்லுவொ,tumi miLariyo tenggo namaskaar melluvo,நீங்கள் சந்திப்பவர்களுக்கு வணக்கம் சொல்லுங்கள்,Say hello to those you meet
ஒண்டெதெங்கொ3,oNTetenggo,ஒருவருக்கு,To someone,ஒண்டெதெங்கொ3 ஹிதௌ ஸங்க3த்தே ஸுல்ப்3யமு,oNTetenggo hitau sanggattE sulbyamu,ஒருவருக்கு அறிவுரை கூறுவது எளிது,It is easy to give advice to someone
அஸ்கிதெங்கொ3,askitenggo,அனைவருக்கும்,To everyone,மொரெ போ3 அஸ்கிதெங்கொ3 களயாத்தெனு,more bO askitenggo kaLayaattenu,என் அப்பா அனைவருக்கும் தெரிந்தவர்,My father is known to everyone
கொங்கிகு,kongkiku,யாருக்கும்,"Nobody, To Nobody",துமி கோன் மெனி கொங்கிகு களாரனி,tumi kOn meni kongkiku kaLaarani,நீங்கள் யாரென்று யாருக்கும் தெரியவில்லை,Nobody knows who you are
கொல்லெகொ3,kollego,எந்த ஒன்று,Which one,கொல்லெகொ3 அமி நாவ் க4ல்னொ ஹோரியொ?,kollego ami naav ghalno hOriyo?,எந்த ஒன்றுக்கு நாம் பெயரிட வேண்டும்?,Which one should we name?
எல்லெகொ3,ellego,இதற்கு,For this one,எல்லெகொ3 தெ3ஸ்ஸு லெக்கு ருபாய் வேன்,ellego dessu lekku rupaay vEn,இதற்கு பத்து லட்சம் ரூபாய் அதிகம்,Ten lakhs rupees is more for this one
தெல்லெகொ3,tellego,அதற்கு,For that one,தெல்லெகொ3 தெனொ ஒப்பிள்யனி,tellego teno oppiLyani,அதற்கு அவன் சம்மதிக்கவில்லை,He did not agree to that one
தெகொ3வுச்சி,tegovucci,"அதற்காக, அதனால்",For that,தெகொ3வுச்சி மீ தெல்லெ ப்ராமோ பொட3ரியொ,tegovucci mee telle praamO poDariyo,அதற்காக நான் அதை விரும்புகிறேன்,I love it for that
கொங்கொ3 தெ4ரி,konggo dheri,யாரைப்பற்றி,About whom,துமி கொங்கொ3 தெ4ரி விசார் பொட3ரியொ?,tumi konggo dheri vicaar poDariyo?,நீங்கள் யாரைப் பற்றி கவலைப்படுகிறீர்கள்?,Whom you are worried about?
மொகொ3 தெ4ரி,mogo dheri,என்னைப்பற்றி,About me,மொகொ3 தெ4ரி மீ ஸங்க3 ஹோனா,mogo dheri mee sangga hOnaa,என்னைப் பற்றி நான் சொல்லக் கூடாது,I should not say about myself
தொகொ3 தெ4ரி,togo dheri,உன்னைப்பற்றி,About you,தொரெ ப4ய் தொகொ3 தெ4ரி புஸெஸ்,tore bhay togo dheri puses,உன் தம்பி உன்னைப் பற்றிக் கேட்டான்,Your brother asked about you
அவ்ங்கொ3 தெ4ரி,avnggo dheri,"எங்களுக்காக, நமக்காக, நம்மைப்பற்றி",About us,அவ்ங்கொ3 தெ4ரி மெல்லொ லிக்கராஸ்,avnggo dheri mello likkaraas,நம்மைப் பற்றியும் எழுதுகிறார்கள்,They also write about us
துங்கொ3 தெ4ரி,tunggo dheri,உங்களைப்பற்றி,About you,துங்கொ3 தெ4ரி அய்கினி பொட்3ராஸ்,tunggo dheri aykini poDraas,உங்களைப் பற்றி கேள்விப்பட்டிருக்கிறோம்,We have heard about you
எகொ3 தெ4ரி,ego dheri,இவனை(ளை)ப்பற்றி,About him / her,எகொ3 தெ4ரி விசார் பொட்3னகொ3,ego dheri vicaar poDnago,அவளைப் பற்றி கவலைப்படாதே,Don't worry about her
தெகொ3 தெ4ரி,tego dheri,அவனை(ளை)ப்பற்றி,About him / her,தெகொ3 தெ4ரி புஸி களள்ளெ,tego dheri pusi kaLaLLe,அவனைப் பற்றி விசாரிக்கவும்,Inquire about him
எங்கொ3 தெ4ரி,enggo dheri,இவர்களைப்பற்றி,About them,எங்கொ3 தெ4ரி ஒண்டெ புஸ்தவ் லிக்குவொ,enggo dheri oNTe pustav likkuvo,இவரைப் பற்றி ஒரு புத்தகம் எழுதுங்கள்,Write a book about him
தெங்கொ3 தெ4ரி,tenggo dheri,அவர்களைப்பற்றி,About those,தெங்கொ3 தெ4ரி காய்தி களயத் ஸங்கு3வொ,tenggo dheri kaayti kaLayat sangguvo,அவரை பற்றி ஏதாவது தெரிந்தால் சொல்லுங்கள்,Tell me if you know anything about him
ஒண்டெதெங்கொ3 தெ4ரி,oNTetenggo dheri,ஒருவரைப்பற்றி,About someone,ஒண்டெதெங்கொ3 தெ4ரி களானாத்தக் கொன்னி மென ஹோனா,oNTetenggo dheri kaLaanaattak konni mena hOnaa,ஒருவரைப் பற்றித் தெரியாமல் எதையும் சொல்லக் கூடாது,Do not say anything without knowing about someone
அஸ்கிதெங்கொ3 தெ4ரி,askitenggo dheri,அனைவரைப்பற்றி,About everyone,தெனு அஸ்கிதெங்கொ3 தெ4ரி வத்தொ கெரராஸ்,tenu askitenggo dheri vatto keraraas,அவர் அனைவரைப்பற்றி பேசுகிறார்,He talks about everyone
கொல்லெகொ3 தெ4ரி,kollego dheri,எதைப்பற்றி,About what,துமி கொல்லெகொ3 தெ4ரி விசார் பொட3ரியொ?,tumi kollego dheri vicaar poDariyo?,நீங்கள் எதைப் பற்றி கவலைப்படுகிறீர்கள்?,What are you worried about?
எல்லெகொ3 தெ4ரி,ellego dheri,இதைப் பற்றி,About this,மீ பை2லோஸ் எல்லெகொ3 தெ4ரி யோஜனொ கெரெஸ்,mee phailOs ellego dheri yOjano keres,நான் ஏற்கனவே இதைப் பற்றி யோசித்தேன்,I have already thought about this
தெல்லெகொ3 தெ4ரி,tellego dheri,அதைப் பற்றி,About that,தெல்லெகொ3 தெ4ரி மொகொ3 கொன்னி களானா,tellego dheri mogo konni kaLaanaa,அதைப் பற்றி எனக்கு எதுவும் தெரியாது,I have no idea about that
கொங்க3யொ,konggayo,யாருடையது,Whose,எல்லெ புஸ்தவ் கொங்க3யொ?,elle pustav konggayo?,இது யாருடைய புத்தகம்?,Whose book is this?
மொரயொ,morayo,என்னுடையது,Mine,எல்லெ தி3ய்யொ மொரயொ,elle diyyo morayo,இவை இரண்டும் என்னுடையவை,Both of these are mine
தொரயொ,torayo,உன்னுடையது,Yours,எல்லெ தௌ3ணொ தொரயொயா?,elle dauNo torayoyaa?,இந்த கண்ணாடி உன்னுடையதா?,Is this glass yours?
அவ்ரயொ,avrayo,"எங்களுடையது, நம்முடையது",Ours,எல்லெ கே4ர் அவ்ரயொ,elle ghEr avrayo,இந்த வீடு எங்களுடையது,This house is ours
துரயொ,turayo,உங்களுடையது,Yours,எல்லெ தி2னூ சொக்காயின் துரயொ,elle thinoo cokkaayin turayo,அந்த மூன்று சட்டைகளும் உங்களுடையது,All three shirts are yours
எக3யொ,egayo,இவனு(ளு)டையது,"His, Hers",எல்லெ ஸௌக்3ஞ எக3யொ,elle saugnja egayo,இந்தக் குறிப்பு இவளுடையது,This note is hers
தெக3யொ,tegayo,அவனு(ளு)டையது,"His, Hers",தெல்லெ அலாஸ்கன் ஸுனான தெக3யொ,telle alaaskan sunaana tegayo,அந்த அலாஸ்கன் நாய்கள் அவனுடையவை,Those Alaskan dogs are his
எங்கொ3யொ,enggoyo,இவர்களுடையது,Theirs,எல்லெ ஹொராடு3 மஹால் எங்கொ3யொ,elle horaaDu mahaal enggoyo,இந்த திருமண மண்டபம் இவர்களுடையது,This wedding hall is theirs
தெங்கொ3யொ,tenggoyo,அவர்களுடையது,Theirs,தெல்லெ கச்சம்பா3 ஜா2டு3ன் தெங்கொ3யொ,telle kaccambaa jhaaDun tenggoyo,அந்த மா மரங்கள் அவர்களுடையது,Those mango trees are theirs
அஸ்கிதெங்கொ3யொ,askitenggoyo,எல்லோருடையது,Everybody's,எல்லெ ஹொடா3ர் அஸ்கிதெங்கொ3யொ,elle hoDaar askitenggoyo,இந்த முற்றம் எல்லோருடையது,This yard is everyone's
கொல்லெகொ3யொ,kollegoyo,எதனுடையது,Whose,எல்லெ தா3ண் கொல்லெகொ3யொ?,elle daaN kollegoyo?,இந்த கைப்பிடி எதனுடையது?,Whose handle is this?
எல்லெகொ3யொ,ellegoyo,இதனுடையது,Its,தெல்லெ ஜை2னா தெட்டொ எல்லெகொ3யொ,telle jhainaa teTTo ellegoyo,அந்த மூடி இதனுடையது,That lid belongs to this
தெல்லகொ3யொ,tellagoyo,அதனுடையது,Its,எல்லெ பி3யாத் தெல்லெகொ3யொ,elle biyaat tellegoyo,இந்த சாவி அதனுடையது,This key belongs to that
கொங்கொ3ஹால்,konggohaal,யாரால்,"By Whom, Because of whom",எல்லெ கொங்கொ3ஹால் கெரத்தக் முஸை?,elle konggohaal kerattak musai?,இதை யாரால் செய்ய முடியும்?,By whom can this be done?
மொரெஹால்,morehaal,என்னால்,"By Me, Because of me","ந்ஹா, தெல்லெ மொரெஹால் ந்ஹா","nhaa, telle morehaal nhaa","இல்லை, அது என்னால் அல்ல","No, it was not by me"
தொரெஹால்,torehaal,உன்னால்,"By you, Because of you",தொரெஹால் தெல்லெ முஸட3த்தக் முஸுனா,torehaal telle musaDattak musunaa,உன்னால் அதை முடிக்க முடியாது,It can not be finished by you
அவ்ரெஹால்,avrehaal,"எங்களால், நம்மால்","By Us, Because of us",அவ்ரெஹால் முஸை மெனி அமி ஸங்க்3யாஸ்,avrehaal musai meni ami sanggyaas,எங்களால் முடியும் என்று நாங்கள் சொன்னோம்,We told it can be done by us
துரெஹால்,turehaal,உங்களால்,"By you, Because of you",துரெஹால் தெனு அவ்யானி,turehaal tenu avyaani,உங்களால் அவர் வரவில்லை,He did not come because of you
