alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
உஸுலத்தெ,usulatte,துள்ளிக்குதித்தல்,Jumping,ஹரிண் உஸுலத்தெமாம் தெகொ3 பாய்ஞ் முட்டியொ,hariN usulattemaam tego paaynj muTTiyo,மான் துள்ளிக்குதித்ததில் கால் முறிந்தது,The leg was broken when the deer jumped
ஜிங்க3த்தெ,jinggatte,"பாய்ச்சல், பாயுதல்","Leap, Long jump",சொராக் ஸீ ஜிங்க3த்தெமாம் வாகு3 ஸமர்து2,coraak see jinggattemaam vaagu samarthu,இரையை நோக்கி பாய்வதில் புலி மிகவும் திறமையானது,The tiger is very good at jumping towards prey
திரத்தெ,tiratte,"நீந்துதல், நீந்துவது",Swimming,பனிம் திரத்தெ மேட் ஹொயெ தே3ஹப்4யாஸு,panim tiratte mET hoye dEhabhyaasu,தண்ணீரில் நீந்துவது சிறந்த உடற்பயிற்சி,Swimming in the water is the best exercise
திவுலத்தெ,tivulatte,காப்பற்றுதல்,"Saving, Protecting",த3யாளுப்பன் மெந்தொ கெஷ்டம் பொட3ரியொ தெங்கொ3 திவுலத்தெ,dayaaLuppan mento keshTam poDariyo tenggo tivulatte,கருணை என்பது கஷ்டப்படுபவரை காப்பாற்றுதல்,Mercy is the saving of the afflicted
து3ர்லத்தெ,durlatte,"தோற்றல், தோற்பது","Losing, Getting defeat",கா2ளும் நத்தெ நதி3னின் ஜொவள் து3ர்லத்தெ தெங்கொ3 ஸொந்தோஷ் தே3யி,khaaLum natte nadinin jovaL durlatte tenggo sontOsh dEyi,பேரக்குழந்தைகளிடம் விளையாட்டில் தோற்பது அவர்களுக்கு மகிழ்ச்சியைத் தரும்,Losing a game to grandchildren makes them happy
து4வத்தெ,dhuvatte,"கழுவுதல், கழுவுவது",Washing,க2யெ ப2ராது எத்னமுன் து4வத்தெ ஶினாத்திஸா காம்,khaye pharaatu etnamun dhuvatte ssinaattisaa kaam,சாப்பிட்ட பிறகு பாத்திரங்களைக் கழுவுவது சோர்வான செயல்,Washing dishes after eating is a tiring activity
து4ன்வத்தெ,dhunvatte,"உதறுதல், உதறுவது",Shaking off,பொ3ட்டொ ஸுக்கொ தக3த்தக் முது3ல்லொ தி3வ்வாள் து4ன்வத்தெ ப3ரொ,boTTo sukko tagattak mudullo divvaaL dhunvatte baro,துணியை உலரப்போடுவதற்கு முன்பு இரண்டு முறை உதறுவது நல்லது,It is better to shake off twice before putting the cloth to dry
துவத்தெ,tuvatte,குறை தீருதல்,Grievance Redressing,தே3வுக் பாய்ஞ் பொட்3லியெத் அஸ்கி கெஷ்டம் துவஸு,dEvuk paaynj poDliyet aski keshTam tuvasu,இறைவனை வணங்கினால் எல்லா குறைகளைகளும் தீருகிறது,All grievances are redressed by worshiping God
தெலத்தெ,telatte,"மிதத்தல், மிதப்பது",Floating,மொரெ க4டி3ம் கய்கி தெலெ ஸொகன் லக3ரஸ்,more ghaDim kayki tele sokan lagaras,என் தொண்டையில் ஏதோ மிதப்பது போல் உணர்கிறேன்,I am feeling like there is something floating in my throat
தெ4ரத்தெ,dheratte,"பிடித்தல், பிடிப்பது",Catching,ஸாபுனுக் தெ4ரத்தெ ஆபத்3 ஹொயெ காமு,saapunuk dheratte aapad hoye kaamu,பாம்புகளை பிடிப்பது ஆபத்தான பணி,Catching snakes is a dangerous task
தொமத்தெ,tomatte,"விரும்புதல், விரும்புவது",Liking,தெனொ அபுல் காமுக் தொமஸு,teno apul kaamuk tomasu,அவன் தனது வேலையை விரும்புகிறான்,He is liking his job
தௌ2கத்தெ,thaukatte,"தட்டுதல், தட்டுவது",Knocking,கவாட் ஹல்லுகன் தௌ2கத்தெ ஒண்டெகா3 கு3ண்ணுக் களட3ஸு,kavaaT hallukan thaukatte oNTegaa guNNuk kaLaDasu,கதவை மெதுவாக தட்டுவது ஒரு நபரின் தன்மையை காட்டுகிறது,Gently knocking on the door shows a person's character
நுத3த்தெ,nudatte,"தள்ளுதல், தள்ளுவது",Pushing,ஒண்டெகொ3 ஓர்த்தொ நுத3த்தெ ஹுர்படொ3ஹொயெ போ2ள் கெரயி,oNTego Ortto nudatte hurpaDohoye phOL kerayi,ஒருவரை ஒரு மூலையில் தள்ளுவது எதிர்மறையான விளைவை ஏற்படுத்தும்,Pushing someone into a corner can have a negative effect
நுவத்தெ,nuvatte,"புகழுதல், புகழுவது, போற்றுவது","Praising, Appreciating, Admiring",தே3வுக் நுவத்தெ மொன்னுக் ஶாந்தி தே3யி,dEvuk nuvatte monnuk ssaanti dEyi,இறைவனைப் புகழுதல் மனதிற்கு அமைதி கொடுக்கும்,Praising the Lord brings peace of mind
பு2லத்தெ,phulatte,"மலர்தல், மலர்வது",Blossoming,பூ2லுன் பு2லத்தெ கோன்தி ஸாத்தக் முஸைய்யா?,phoolun phulatte kOnti saattak musaiyyaa?,பூக்கள் பூப்பதை யாராவது பார்க்க முடியுமா?,Can anyone see the flowers blooming?
பு4ஞ்ஜத்தெ,bhunjjatte,"வறுத்தல், வறுப்பது","Frying, Roasting",மிர்க்கைலொ பு4ஞ்ஜத்தெ கடி2ன்ஹொயெ காம்,mirkkailo bhunjjatte kaThinhoye kaam,மிளகாய் வறுப்பது கடினமான வேலை,Frying chili is a tough job
புல்லத்தெ,pullatte,"மிதத்தல், மிதப்பது",Floating,ஹூனுகலமு பனிம் புல்லத்தெ குஷிஹொயெ அனுப4வமு,hoonukalamu panim pullatte kushihoye anubhavamu,கோடையில் தண்ணீரில் மிதப்பது ஒரு இனிமையான அனுபவம்,Floating in the water in summer is a pleasant experience
புஸத்தெ,pusatte,"கேட்டல், கேட்பது",Asking,ஸெர்க்கஹொயெ புஸினி புஸத்தெ ஸுலப்3யம் ந்ஹா,serkkahoye pusini pusatte sulabyam nhaa,சரியான கேள்வியைக் கேட்பது எளிதல்ல,Asking the right question is not task
பொந்து3லத்தெ,pondulatte,துன்பம் அனுபவித்தல்,"Suffering, Enduring",கெருமுக் பொந்து3லத்தேஸ் தெல்லெ திரட3த்தக் மேட் ஹொயெ வாட்,kerumuk pondulattEs telle tiraDattak mET hoye vaaT,கர்மாவை சகித்துக்கொள்வதே அதை தீர்க்க சிறந்த வழி,Enduring Karma is the best way to solve it
பொந்துலத்தெ,pontulatte,போட்டியிடுவது,Competing,பன்தும் பொந்துலத்தெ மெந்தொ ஜிகி3னி ஒடி3னிக் ஐதொகன் ர்ஹாத்தெ,pantum pontulatte mento jigini oDinik aitokan rhaatte,பந்தயத்தில் போட்டியிடுவது என்பது வெற்றி தோல்விக்கு தயாராக இருப்பது,Competing in a race means being ready for victory or defeat
முகு3லத்தெ,mugulatte,"தேடுதல், தேடுவது","Searching, Seeking",தே3வுக் முகு3லத்தெ துங்கொ3 கொ2ப்3பி3ம் ஹாத் ஸொட்3னா,dEvuk mugulatte tunggo khobbim haat soDnaa,கடவுளைத் தேடுவது உங்களை ஒருபோதும் கை விடாது,Seeking God will never let you down
முத3த்தெ,mudatte,"மகிழ்தல், மகிழ்வது","Rejoicing, Cheering",வேன் முத3த்தெ ந்ஹீஜியெத் ரொட3த்தெ - தி3ய்யொ சொக்கட் ந்ஹா,vEn mudatte nheejiyet roDatte - diyyo cokkaT nhaa,மிக அதிகமாக அழுவது அல்லது மகிழ்வது - இரண்டும் நல்லதல்ல,Too much crying or rejoicing - both are not good
யதுலத்தெ,yatulatte,"முயற்சித்தல், முயற்சிப்பது",Trying,கோ3 பி3ஸி ர்ஹாத்தக் யதுலத்தெ மொடா3க் ஸமான்,gO bisi rhaattak yatulatte moDaak samaan,சும்மா இருக்க முயற்சிப்பது பிணத்திற்கு சமம்,Trying to be idle is tantamount to corpse
லிங்கத்தெ,lingkatte,"ஒதுங்குதல், ஒதுங்குவது","Beaching, Running aground, Sheltering",வாத3ளா வேள் ஜா2டு3 கா2ல் லிங்கத்தெ ஆபத்3 ஹொயெயொ,vaadaLaa vEL jhaaDu khaal lingkatte aapad hoyeyo,புயலின் போது மரத்தடியில் ஒதுங்குவது ஆபத்தானது,It is dangerous taking shelter under a tree during a storm
லுண்டத்தெ,luNTatte,"புரளுதல், உருளுவது",Rolling over,மத்திம் லுண்டத்தெ பில்லல்னுக் கௌத்கன் ஸே,mattim luNTatte pillalnuk kautkan sE,மண்ணில் உருளுவது குழந்தைக்கு வேடிக்கையாக உள்ளது,Rolling in the dirt is fun for the baby
லொட3த்தெ,loDatte,"துடைத்தல், பெருக்குதல்,","Sweeping, Cleaning up trash",ஹாகும் ஜெஜ்ஜு லொட3த்தெ சொக்கட் தேஹப்4யாஸ்,haakum jejju loDatte cokkaT tEhabhyaas,தோட்டத்தில் குப்பைகளை சுத்தம் செய்வது நல்ல உடற்பயிற்சி,Cleaning up trash in the garden is good physical exercise
வஸத்தெ,vasatte,"வாழுதல், வாழ்வது",Living,நொவ்வொ த3ம்பதின் அலக்3கொ3 வஸத்தே ப3ரொ,novvo dampatin alaggo vasattE baro,புதுமணத் தம்பதிகள் தனியாக வாழ்வது நல்லது,Newlyweds are better off living alone
விங்கத்தெ,vingkatte,"வேறுபடுதல், வேறுபடுவது",Differing,துரெ யோஜனான் மொரெ தெமாம் ர்ஹீ விங்கத்தெ நொவ்வொ ந்ஹா,ture yOjanaan more temaam rhee vingkatte novvo nhaa,உங்கள் எண்ணங்கள் என்னுடையதில் இருந்து வேறுபடுவது புதிதல்ல,Your thoughts differing from mine is not new
வௌரத்தெ,vauratte,"வீசுதல், விசுறுதல்","Blowing, Fanning",தாளு விஜனொ ஹால் வௌரத்தெ ஒண்டெ கலம்,taaLu vijano haal vauratte oNTe kalam,பனை விசிறியால் வீசியது ஒரு காலம்,It's been a long time since fanning with a palm fan
ஜிக3த்தெ,jigatte,வெற்றி பெறுதல்,"Winning, Conquering",கிஸான் தே3ஶுக் மெல்லொ ரணமு ஜிக3த்தெ முக்யமு,kisaan dEssuk mello raNamu jigatte mukyamu,எந்தவொரு நாட்டிற்கும் போரில் வெற்றி பெறுவது முக்கியமானது,Winning the war is important for any country
ஜுலத்தெ,julatte,பிரகாசித்தல்,Shining,வித்3யாவிக் லெக்ஷன் ஸபா4ம் ஜுலத்தெ,vidyaavik lekshan sabhaam julatte,கற்றவர்க்கு அடையாளம் சபையில் பிரகாசித்தல்,The identify of the Educated is shining before the learned
ஸ்துதி கெரத்தே,stuti kerattE,"புகழுதல், பாராட்டுதல்","Praising, Appreciating",ஸ்வயஸுக2முக் ஒண்டெகொ3 ஸ்துதி கெரத்தெ தி4ல்லொஹொயெயொ,svayasukhamuk oNTego stuti keratte dhillohoyeyo,சுயநலத்திற்காக ஒருவரைப் புகழ்வது இழிவானது,Praising someone for selfishness is disgraceful
ஸ்ரமொ க2ள்ளத்தெ,sramo khaLLatte,கடினமாக உழைத்தல்,Working hard,பெ4டெ3க் லெக்ஷனு ஸ்ரமொ க2ள்ளத்தெ,bheDek lekshanu sramo khaLLatte,கடின உழைப்பே வேலைக்காரனின் அடையாளம்,Working hard is the hallmark of servant
ஸான் தெ4ரத்தெ,saan dheratte,கூர்மைப்படுத்துவது,"Polishing, Sharpening",அய்து3னுக் ஸான் தெ4ரத்தெ ஹிந்தொ3 லெந்து ஸே,aydunuk saan dheratte hindo lentu sE,ஆயுதங்களைக் கூர்மைப்படுத்துவது இன்றுவரை உள்ளது,Sharpening of weapons remains to this day
ஸிங்குலத்தெ,singkulatte,"சந்தேகப்படுதல், சந்தேகப்படுவது","Doubting, Suspicion",ஸிங்குலத்தெ மெந்தொ ஒஜாதி மொன்னு ரோகு3,singkulatte mento ojaati monnu rOgu,சந்தேகப்படுவது என்பது ஒரு வகை மனநோய்,Doubting is a kind of mental disease
ஸிஞ்ஜத்தெ,sinjjatte,தெளித்தல்,Spraying,ஜந்துநஸினிக் ஸிஞ்ஜத்தெஹால் பீகுன் ரக்ஷண் ஹோஸு,jantunasinik sinjjattehaal peekun rakshaN hOsu,பூச்சிக்கொல்லிகளை தெளிப்பதால் பயிர்கள் பாதுகாக்கப்படுகின்றன,Crops are protected by spraying pesticides
ஸிடத்தெ,siTatte,வழிபடுதல்,Worshipping,கெஷ்டம் பொட3த்தவேள் தே3வுக் ஸிடத்தெ சொக்கட் ப2லன் தே3யி,keshTam poDattavEL dEvuk siTatte cokkaT phalan dEyi,கஷ்டகாலத்தில் கடவுளை வழிபடுதல் நல்ல பலனைத்தரும்,Worshiping God in times of trouble will bring good results
ஸில்கு3லத்தெ,silgulatte,"மெச்சுதல், பாராட்டுதல்","Praising, Appreciating",அபுல் ப்ரபா4வ் மெந்தொ அவ்ங்கோஸ் அமி ஸில்கு3லத்தெ,apul prabhaav mento avngkOs ami silgulatte,தற்பெருமை என்பது தன்னைத்தானே புகழுவது,Bragging is the act of praising oneself
ஸொமத்தெ,somatte,"சகித்துக்கொள்ளுதல், பொறுத்துக்கொள்வது",Tolerating,அவ்ரெ தெ4ருமு பொ3லம் அஸ்கியொ ஸொமத்தெ,avre dherumu bolam askiyo somatte,நமது தர்மத்தின் பலம் அனைத்தையும் பொறுத்துக் கொள்வதுதான்,The strength of our Dharma is tolerating all
ஸொம்மத்தெ,sommatte,மன்னித்தல்,Forgiving,து3ஸுரெதெங்கொ3 ஸொம்மத்தெ மொரெ பா3 ம்ஹொட்டொ பொ3லம்,dusuretenggo sommatte more baa mhoTTo bolam,மற்றவர்களை மன்னிப்பது என் தந்தையின் பெரிய பலம்,Forgiving others is my father's great strength
ஶில்க3த்தெ,ssilgatte,"புகழுதல், பாராட்டுதல்","Praising, Appreciating",ரஜாக் ஶில்க3த்தெ ஜேமுக் வெது3ர் ஸீ ஒண்டேஸ்,rajaak ssilgatte jEmuk vedur see oNTEs,அரசனைப் புகழ்வது பரிசை எதிர்பார்த்து மட்டுமே,Praising the king is only in anticipation of the gift
ஹுக்3ட3த்தெ,hugDatte,திறத்தல்,Opening,பரமபத கவாட்3 ஹுக்3ட3த்தெ வைகுண்ட ஏகாதஸி தெந்து3ஸ் சலஸு,paramapata kavaaD hugDatte vaikuNTa Ekaatasi tendus calasu,பரமபத வாசல் திறப்பது வைகுண்ட ஏகாதசி அன்று நடக்கும்,The opening of the Paramatman Gate will take place on Vaikunda Ekadasi
