alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஹாது கெ4டி3யளொ,haatu gheDiyaLo,கைக்கடிகாரம்,"Wristwatch, Watch",பை2லா ஹாது கெ4டி3யளொ 1868 - ம் தெ3க்கி தெ3ர்யாஸி,phailaa haatu gheDiyaLo 1868 - m dekki deryaasi,முதல் கைக்கடிகாரம் 1868 இல் கண்டுபிடிக்கப்பட்டது,The first wrist watch was invented in 1868
ஸெகு3ன்,segun,சகுனம்,Omen,களொ மஞ்ஜிரிக் ஸாத்தெ தி4ல்லொ ஸெகு3ன் மெனி ஜு2கு3 தெனு மெனஸுன்,kaLo manjjirik saatte dhillo segun meni jhugu tenu menasun,கருப்பு பூனையைப் பார்ப்பது கெட்ட சகுனம் என பலர் சொல்வார்கள்,Many people say that seeing a black cat is a bad omen
ஶுப4,ssubha,"நல்ல, சுப",Auspicious,ஶுப4 வேள் ஸீகின் ராக்கெட் ஸொட3ஸுனு,ssubha vEL seekin raakkeT soDasunu,சுப நேரத்தில் ராக்கெட்டை ஏவுகிறார்கள்,They launch a rocket at an auspicious time
வேக்,vEk,"வேளை, காலம், போது, நேரம், சிறிது நேரம்","Time, While",வேக் சொக்கட் ர்ஹியெத் ஹவ்டெ3யொ சலயி,vEk cokkaT rhiyet havDeyo calayi,நேரம் நன்றாக இருந்தால் நினைத்தது நடக்கும்,"If the timing is good, what is thought will happen"
வேள்,vEL,"வேளை, காலம், போது, நேரம், சிறிது நேரம்","Time, While",தூ ஏட் ர்ஹாத்த வேள் மொரெ சொக்காய் ஸிவி ஹொட்டெ,too ET rhaatta vEL more cokkaay sivi hoTTe,நீ இங்கே இருக்கும்போது என் சட்டையை தைத்துவிடு,Sew my shirt while you're here
வேளுமிதி,vELumiti,காலக்கெடு,"Deadline, Time limit, Timeline",ஸர்கார் தி3யெ வேளுமிதி ஸொந்தொ3 ஸெரொ முஸரஸ்,sarkaar diye vELumiti sondo sero musaras,அரசு அளித்த காலக்கெடு நாளையுடன் முடிவடைகிறது,The deadline given by the government ends tomorrow
இர்கடு3 வேள்,irkaDu vEL,கஷ்டகாலம்,"Hard Times, Difficult times",இர்கடு3 வேள் ஸஹாவ் கெரத்தெனோஸ் மித்ரு,irkaDu vEL sahaav kerattenOs mitru,இக்கட்டான சமயங்களில் உதவுபவனே நண்பன்,A friend is one who helps in difficult times
பா2ர்,phaar,"வேளை, காலம்",Time,ஸொளொபா2ரும் சுரும் ஹுட3த்தெ சொக்கட் வட்கெ,soLophaarum curum huDatte cokkaT vaTke,காலையில் சீக்கரம் எழுவது நல்ல பழக்கம்,Getting up early in the morning is a good habit
பா2ரு,phaaru,ஜாமம் (3 மணி நேரம்),A period of 3 Hours,ஆட் பா2ருன் மிளின் ஒண்டெ தி3ன்னு ஹோஸு,aaT phaarun miLin oNTe dinnu hOsu,எட்டு ஜாமங்கள் சேர்ந்தால் ஒரு நாள் ஆகும்,Eight phaarun (3 Hours) add up to one day
ஸெணம்,seNam,"சீக்கிரம், விரைவில்","Soon, quickly",காம் ஸெணம் முஜ்ஜொ,kaam seNam mujjo,வேலை சீக்கிரத்தில் முடிந்து விட்டது,The work is over quickly
ஶுனாஸ்,ssunaas,குறித்த காலத்திற்கு முன்,Early,துமி ஶுனாஸ் அவ்டி3யா,tumi ssunaas avDiyaa,நீங்கள் சீக்கிரமே வந்து விட்டீர்கள்,You have arrived early
அவ்ஸர்,avsar,அவசரம்,Hurry,துமி ககொ3 அவ்ஸர் பொட3ரியொ?,tumi kago avsar poDariyo?,நீங்கள் ஏன் அவசரப்படுகிறீர்கள்?,Why are you in such a hurry?
ஸவ்கா3ஸ்,savgaas,"ஓய்வு, தாமதம்","Leisure, Free, Rest, Delay",ஸவ்கா3ஸ் அப்3பெ3த் கே4ர் அவொ,savgaas abbet ghEr avo,ஓய்வு கிடைத்தால் வீட்டுக்கு வாருங்கள்,Come home when you are free
ஸவ்கா3ஸ்கன்,savgaaskan,மெதுவாக,Slowly,தெனொ ஸவ்கா3ஸ்கன் காம் கெரை,teno savgaaskan kaam kerai,அவன் மெதுவாக வேலை செய்வான்,He works slowly
அவ்காஶ்,avkaass,"வாய்ப்பு, சந்தர்ப்பம்",Opportunity,புஸினி புஸத்தக் அவ்காஶ் ந்ஹீ !,pusini pusattak avkaass nhee !,கேள்விகள் கேட்க வாய்ப்பு இல்லை !,No opportunity to ask questions !
அவ்காஸ்,avkaas,விடுப்பு,Leave,மீ ஹிந்தொ3 அவ்காஸ் க2ல்ரெஸ்,mee hindo avkaas khalres,நான் இன்று விடுப்பு எடுத்துள்ளேன்,I have take leave today
அவ்காஸ் தி3ன்னு,avkaas dinnu,விடுமுறை,Holiday,ஒண்டெ ஒர்ஸும் 9 அவ்காஸ் தி3ன்னுன் ஸே,oNTe orsum 9 avkaas dinnun sE,ஒரு வருடத்தில் 9 விடுமுறைகள் உள்ளன,There are 9 holidays in a year
தெ2வ்டெ3 வேள்,thevDe vEL,"சில நேரங்களில், சில சமயம், எப்பொழுதாவது",Sometimes,தெ2வ்டெ3வேள் தோன் ஜ2ய்லி ர்ஹாத்தெ ப3ரொ,thevDevEL tOn jhayli rhaatte baro,சில நேரங்களில் வாயை மூடிக்கொண்டு இருப்பது நல்லது,Sometimes it's better to keep the mouth shut
வேளாவேளாக்,vELaavELaak,வேளாவேளைக்கு,"Timely, At regular intervals",வேளாவேளாக் ஹொகத் கா2த்தெ அவஸ்யமு,vELaavELaak hokat khaatte avasyamu,வேளாவேளைக்கு மருந்து சாப்பிடுவது அவசியம்,It is necessary to take medicines at regular intervals
இரோட்,irOT,இரண்டுங்கெட்டான்,Untimely,ஸொளொபா2ர் ந்ஹீ வீள்டாக் அவ்னொ. இஸனி இரோடு வேளும் தூ அவெத் காய் கெரத்தெ?,soLophaar nhee veeLTaak avno. isani irOTu vELum too avet kaay keratte?,காலை அல்லது மாலையில் வரவேண்டும். இப்படி இரண்டுங்கெட்ட வேளையில் நீ வந்தால் என்ன செய்ய?,Should come in morning or evening. What to do if you come at a time like this?
வர்தமானகாலு,vartamaanakaalu,நிகழ்காலம்,Present Tense,அத்தொ காய் சலரஸ் மெனெத்தெ வர்தமானுகாலு ஸங்க3ஸு,atto kaay calaras menette vartamaanukaalu sanggasu,இப்போது என்ன நடக்கிறது என்பதை நிகழ்காலம் சொல்கிறது,The present tense tells what is happening now
சல்தகாலு,caltakaalu,நிகழ்காலம்,Present Tense,மீ ஜாரஸ் மெனெத்தெ சல்தகாலு,mee jaaras menette caltakaalu,நான் செல்கிறேன் என்பது நிகழ்காலம்,I go is a present tense
பூ4தகாலு,bhootakaalu,இறந்தகாலம்,Past Tense,சலெயொ ஸங்க3த்தெ பூ4தகாலு,caleyo sanggatte bhootakaalu,நடந்ததை சொல்வது இறந்தகாலம்,Telling what happened is past tense
கே3காலு,gEkaalu,இறந்தகாலம்,Past Tense,மீ ஜியெஸ் மெனெத்தெ கே3காலு,mee jiyes menette gEkaalu,நான் சென்றேன் என்பது இறந்தகாலம்,I went is a past tense
ப4விஷ்யகாலு,bhavishyakaalu,எதிர்காலம்,Future Tense,சலன் ஜாரியொ ஸங்க3த்தெ ப4விஷ்யகாலு,calan jaariyo sanggatte bhavishyakaalu,நடக்கப் போவதை சொல்வது எதிர்காலம்,Telling what is going to happen is future tense
"ஔதகாலு, அவ்தொ காலு","autakaalu, avto kaalu",எதிர்காலம்,Future Tense,மீ ஜவு மெனெத்தெ ஔதகாலு,mee javu menette autakaalu,நான் செல்வேன் என்பது எதிர்காலம்,I will go is a future tense
"ஔதகால், அவ்தொ கால்","autakaal, avto kaal",எதிர்காலம்,Future,ஶ்ரேஷ்ட2 அவ்தொகாலுக்குரிச்சி மீ பாய்ஞ்பொட்3லரஸ்,ssrEshTha avtokaalukkuricci mee paaynjpoDlaras,சிறந்த எதிர்காலத்திற்காக நான் பிரார்த்தனை செய்கிறேன்,I pray for a better future
ப4விஷ்யம்,bhavishyam,எதிர்காலம்,Future,ப4விஷ்யம் சொக்கட் ர்ஹாந்தொ3,bhavishyam cokkaT rhaando,எதிர்காலம் நன்றாக இருக்கட்டும்,May the future be good
ஹத்3து3ராத்,hadduraat,நள்ளிரவு,Midnight,ஹத்3து3ராதும் மொகொ3 பொ3வ்னகொ3,hadduraatum mogo bovnago,நள்ளிரவில் என்னை அழைக்காதே,Don't call me at midnight
ஸொளொ ஸொளொபா2ர்,soLo soLophaar,அதிகாலை,Early Morning,ஸொளொ ஸொளொபா2ரும் கோட் ஜீ ர்ஹாத்தொ முஸை?,soLo soLophaarum kOT jee rhaatto musai?,அதிகாலையில் எங்கே போயிருக்க முடியும்?,Where could have gone in the early morning?
