alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஹிமுஸ்,himus,குளிர்,Cold,ஒர்ஸுஒர்ஸு ஹிமுஸ் வேன் ஹொய்லேத் ஜாரஸ்,orsuorsu himus vEn hoylEt jaaras,வருடாவருடம் குளிர் அதிகமாகிக் கொண்டே போகிறது,The cold is getting worse year by year
ஒஸு,osu,பனி,Snow,ஸில்லா தே3ஶும் இரளா கலமு ஒஸு பொட3ஸு,sillaa dEssum iraLaa kalamu osu poDasu,குளிர் நாடுகளில் பனிக்காலத்தில் பனிப்பொழிவு ஏற்படுகிறது,Snowfall occurs in colder countries during the winter
ஓஸு,Osu,பனி,Snow,ஶேலு ந்ஹாத்தக் ஓஸும் ஜானாங்கோ3,ssElu nhaattak Osum jaanaanggO,கம்பளி சட்டை இல்லாமல் பனியில் செல்ல வேண்டாம்,Do not go in the snow without a sweater
மொஞ்சு,monjcu,மூடுபனி,"Mist, Fog",த4னுர் ம்ஹடா3ம் மொஞ்சு வேன் ர்ஹாயி,dhanur mhaDaam monjcu vEn rhaayi,மார்கழி மாதத்தில் மூடுபனி அதிகமாக இருக்கும்,The fog will be high in the month of Margazhi
கெ4டி3 பொட3த்தெ,gheDi poDatte,உறைதல்,Freeze,ஹிமுஸுகலமு நலர்தேல் கெ4டி3 பொள்ட்3யி,himusukalamu nalartEl gheDi poLDyi,குளிர்காலத்தில் தேங்காய் எண்ணெய் உறைந்துவிடும்,Coconut oil freezes in winter
ஹின்னொ,hinno,பனிக்கட்டி,Ice,ஸில்லாகா3மும் ஹிமுஸுகலமு பனி ஹின்னொகன் ஹொய்யாயி,sillaagaamum himusukalamu pani hinnokan hoyyaayi,குளிர்நாடுகளில் குளிர்காலத்தில் தண்ணீர் பனிக்கட்டியாக மாறும்,In colder countries the water turns to ice in winter
பனி கெ3ட்3டொ3,pani geDDo,பனிக்கட்டி,Ice,பனி கெ3ட்3டொ3 க2யெத் க4டி3ம் க2ஜ்ஜு அவயி,pani geDDo khayet ghaDim khajju avayi,பனிக்கட்டி சாப்பிட்டால் தொண்டையில் புண் வரும்,Eating ice can cause throat sore
பிடு3,piDu,மின்னல்,Lightning,பிடு3 பொடெ3த் ஜா2ட்3 ஹுலொ லயி ஜெலி ஜேட3யி,piDu poDet jhaaD hulo layi jeli jEDayi,மின்னல் தாக்கினால் மரம் தீப்பற்றி எரிந்து விடும்,"When struck by lightning, the tree will catches fire and burn"
சப3ல்,cabal,மின்னல்,Lightning,மேகு3ன் விஜிலிக் ப4ராட்த4ட்3டெ3ரியொஹால் சப3ல் உரு ஹோஸு,mEgun vijilik bharaaTdhaDDeriyohaal cabal uru hEaasu,மேகங்கள் மின்சாரத்தை வெளியேற்றுவதால் மின்னல் ஏற்படுகிறது,Lightning is caused by clouds discharging electricity
கெ3ர்ஜனொ,gerjano,"இடிமுழக்கம், இடி இடிக்கும் சத்தம்",Thunderclap,பொவ்ஸுகலமு கெ3ர்ஜனொ ஐகாயி,povsukalamu gerjano aikaayi,மழைக்காலத்தில் இடி இடிக்கும் சத்தம் கேட்கும்,The thunderclap can be heard during the rainy season
இரன்,iran,இடி,Thunder,ர்ஹியெவாகுர் இரன் தி3யெஸி,rhiyevaakur iran diyesi,திடீரென இடி இடித்தது,Suddenly there was thunder
பவி,pavi,இடி,Thunder,பவி ஸெத்3து3 கான் செவுட் ஜாரஸ்,pavi seddu kaan cevuT jaaras,இடிச் சத்தம் காதைப் பிளக்கிறது,The sound of thunder pierce the ear
இந்த்3ரத4னுஷ்,indradhanush,வானவில்,Rainbow,பொவ்ஸ் ஸுட்டெ பராது இந்த்3ரத4னுஷ் தெ3க்காயி,povs suTTe paraatu indradhanush dekkaayi,மழை நின்ற பிறகு வானவில் தோன்றும்,The rainbow will appear after the rain stops
