ꢂꢖ꣄ꢔꢸꢱꣁ,अङ्गुसा॑,அங்கு3ஸொ,anguso',aGgusO,aṅgusŏ,əŋgus̪o,iron rod of mahout,அங்குசம்  
ꢦꢷꢝꢪ꣄,फीटम,பீட2ம்,peet'ham,pITham,pīṭham,piːʈʰəm,seat,இருக்கை  
ꢥꢶꢮꢵꢬꢠꣁ,निवारणा॑,நிவாரணொ,nivaarano',nivAraNO,nivāraṇŏ,n̪ɪʋɑːɾəɳo,compensation,இழப்பீடு  
ꢡꢵꢡ꣄,तात,தாத்,taat,tAt,tāt,t̪ɑːt̪,fibre,இழை  
ꢡꢵꢒ꣄,ताक,தாக்,taak,tAk,tāk,t̪ɑːk,fibre,இழை  
ꢆꢬ꣄ꢮꢬꣁ,उर्वरा॑,உர்வரொ,urvaro',urvarO,urvarŏ,uɾʋəɾo,fertilizer,உரம்  
ꢆꢬꣁ,उरा॑,உரொ,uro',urO,urŏ,uɾo,fertilizer,உரம்  
ꢤꢸꢭ꣄ꢞꣁ,धुल्डा॑,து4ள்டொ3,dhuld'o',dhulDO,dhulḍŏ,d̪ʰulɖo,cylinder,உருளை  
ꢡꢹꢬ꣄,तूर,தூர்,toor,tUr,tūr,t̪uːɾ,cylinder,உருளை  
ꢒꢱꢮ꣄ꢜꢶ,कसव्टि,கஸவ்டி,kasavt'i,kasavTi,kasavṭi,kəs̪əʋʈɪ,touch stone,உரைகல்  
ꢔꣁꢱꢸꢥꢵꢮꢸ ꢣꢾꢫ꣄ꢞꣁ,ग॑सुनावु द॑य्डा॑,கெ3ஸுனாவு தெ3ய்டொ3,go'sunaavu de'yd'o',gOsunAvu dEyDO,gŏsunāvu dĕyḍŏ,gos̪un̪ɑːʋu d̪ejɖo,touch stone,உரைகல்  
ꢗꢸꢭ꣄ꢭꣁ,चुल्ला॑,சுல்லொ,chullo',cullO,cullŏ,t͡ʃullo,fire place,உலை  
ꢙꢸꢥꢡ꣄ꢥꢵꢬ꣄,जुनत्नार,ஜுனத்னார்,junatnaar,junatnAr,junatnār,d͡ʒun̪ət̪n̪ɑːɾ,farmer,உழவன்  
ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄,जुनत्वान,ஜுனத்வான்,junatvaan,junatvAn,junatvān,d͡ʒun̪ət̪ʋɑːn̪,farmer,உழவன்  
ꢥꢖ꣄ꢔꢸꢥꢵꢬ꣄,नङ्गुनार,நங்கு3னார்,nangunaar,naGgunAr,naṅgunār,n̪əŋgun̪ɑːɾ,farmer,உழவன்  
ꢒꢬ꣄ꢰ꣄ꢠꢵꢬ꣄,कर्ष्णार,கர்ஷ்ணார்,karshnaar,karSNAr,karṣṇār,kəɾʂɳɑːɾ,farmer,உழவன்  
ꢒ꣄ꢬꢸꢰꢶ,क्रुषि,க்ருஷி,krushi,kruSi,kruṣi,kɾuʂɪ,farmer,உழவன்  
ꢜꢖ꣄ꢒꢸ,टङ्कु,டங்கு,t'anku,TaGku,ṭaṅku,ʈəŋku,chisel,உளி  
ꢱꢶꢮꢶ,सिवि,ஸிவி,sivi,sivi,sivi,s̪ɪʋɪ,needle,ஊசி  
ꢧꢸꢥꢳꢶ,फुनळि,பு2னளி,phunal'i,phunaLi,phunal̤i,pʰun̪əɭɪ,blow pipe,ஊதுகுழல்  
ꢱꢿꢮꣁ ,सेवो,ஸேவோ,sevo',sevO,sevŏ,s̪eːʋo,,
ꢢꢿꢡꢸ ꢱꢡ꣄ꢡꢸ,खेतु सत्तु,கே2து ஸத்து,thetu sattu,thetu sattu,thetu sattu,t̪ʰeːt̪u s̪ət̪t̪u,manure,எரு  
ꢱꢿꢥ꣄,म्स्तु,மஸ்து,sen,sen,sen,s̪eːn̪,manure,எரு  
ꢱꢿꢥ꣄,सेन्,ஸேன்,sen,sen,sen,s̪eːn̪,manure,எரு  
ꢒꢜꢶ ꢣꢾꢮ꣄ꢱꢶꢥꢶ,कटि द॑व्सिनि,கடி தெ3வ்ஸினி,kat'i de'vsini,kaTi dEvsini,kaṭi dĕvsini,kəʈɪ d̪eʋs̪ɪn̪ɪ,grafting,ஒட்டுமுறை  
ꢪꢶꢳꢞ꣄ꢠꢶ,मिळड्णि,மிளட்3ணி,mil'ad'ni,miLaDNi,mil̤aḍṇi,mɪɭəɖɳɪ,grafting,ஒட்டுமுறை  
ꢱꢶꢖ꣄ꢔꢬ꣄ꢭꢶꢥꢶ,सङ्गर्लिनि,ஸிங்க3ர்லினி,singarlini,siGgarlini,siṅgarlini,s̪ɪŋgəɾlɪn̪ɪ,make up,ஒப்பனை  
ꢤꣁꢥꢶ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ,धा॑नि पञ्जीकरणा॑,தொ4னி பஞ்ஜீகரணொ,dho'ni panjeekarano',dhOni paJjIkaraNO,dhŏni pañjīkaraṇŏ,d̪ʰon̪ɪ pəɲd͡ʒiːkəɾəɳo,sound recording,ஒலிப்பதிவு  
ꢤꣁꢥꢶ ꢤꢾꢬ꣄ꢥꢶ,धा॑नि ध॑र्नि,தொ4னி தெ4ர்னி,dho'ni dhe'rni,dhOni dhErni,dhŏni dhĕrni,d̪ʰon̪ɪ d̪ʰeɾn̪ɪ,sound recording,ஒலிப்பதிவு  
ꢬꢹꢦꢸ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ,रूप पञ्जीकरणा॑,ரூபு பஞ்ஜீகரணொ,roopu panjeekarano',rUpu paJjIkaraNO,rūpu pañjīkaraṇŏ,ɾuːpu pəɲd͡ʒiːkəɾəɳo,photography,ஒளிப்பதிவு  
ꢬꢹꢦꢸ ꢤꢾꢬ꣄ꢥꢶ,रूपु धेर्नि,ரூபு தெ4ர்னி,roopu dhe'rni,rUpu dhErni,rūpu dhĕrni,ɾuːpu d̪ʰeɾn̪ɪ,photography,ஒளிப்பதிவு  
ꢣꣁꢮ꣄ꢞꢸꢥꢵꢬ꣄,दा॑व्डुनार,தொ3வ்டு3னார்,do'vd'unaar,dOvDunAr,dŏvḍunār,d̪oʋɖun̪ɑːɾ,driver,ஓட்டுநர்  
ꢱꢵꢬꢤꢶ,सारथि,ஸாரதி2,saaradhi,sAradhi,sāradhi,s̪ɑːɾəd̪ʰɪ,driver,ஓட்டுநர்  
ꢣꣂꢠꢶ,दोणि,தோ3ணி,doni,doNi,doṇi,d̪oːɳɪ,boat,ஓடம்  
ꢥꢮ꣄ꢒꣁ,नव्का॑,நவ்கொ,navko',navkO,navkŏ,n̪əʋko,boat,ஓடம்  
ꢒꢾꢜ꣄ꢜꣁ,क॑ट्टा॑,கெட்டொ,ke't't'o',kETTO,kĕṭṭŏ,keʈʈo,bale,கட்டு  
ꢒꢾꢜ꣄ꢜꢾ ꢦꢛ꣄ꢗꢭ꣄,क॑ट्ट॑ पञ्चल्,கெட்டெ பஞ்சல்,ke't't'e' panchal,kETTE paJcal,kĕṭṭĕ pañcal,keʈʈe pəɲt͡ʃəl,catamaran,கட்டுமரம்  
ꢒꢾꢜ꣄ꢜꢾ ꢬꢹꢦ꣄ ꢒꢾꢬ꣄ꢥꢶ,क॑ट्ट॑ रूप क॑र्नि,கெட்டெ ரூப் கெர்னி,ke't't'e' roop ke'rni,kETTE rUp kErni,kĕṭṭĕ rūp kĕrni,keʈʈe ɾuːp keɾn̪ɪ,shaping of wood,கடைசல்  
ꢔꢪ꣄ꢙꢶ,गम्जि,க3ம்ஜி,gamji,gamji,gamji,gəmd͡ʒɪ,supervise,கண்காணி
ꢔꢪ꣄ꢗꢸꢥꢵꢬ꣄ ,गम्चुनार्,க3ம்சுனார்,gamchunaar,gamcunAr,gamcunār,gəmt͡ʃun̪ɑːɾ,supervisor,கண்காணிப்பாளர்  
ꢱꢹꢞ꣄ ꢲꢥꢱ꣄ꢡꢾ,सूड हनते,ஸூட்3 ஹனஸ்தே,sood' hanaste',sUD hanastE,sūḍ hanastĕ,s̪uːɖ ɦən̪əs̪t̪e,thrashing grains,கதிரடித்தல்  
ꢤꢾꢥ꣄ꢣ꣄ꢫꢵꢮ꣄,घ॑न्द्याव,கெ4ந்த்3யாவ்,dhe'ndyaav,dhEndyAv,dhĕndyāv,d̪ʰen̪d̪jɑːʋ,sulpher,கந்தகம்  
ꢥꢵꢮꢶ,नावि,நாவி,naavi,nAvi,nāvi,n̪ɑːʋɪ,ship,கப்பல்  
ꢡꢵꢬ꣄,तार्,தார்,taar,tAr,tār,t̪ɑːɾ,ship,கப்பல்  
ꢬꢴꢾꢞꣁ,र्ह॑डा॑,ரெ:டொ3,rhe'd'o',rhEDO,rhĕḍŏ,ɾɦeɖo,pulley,கப்பி  
ꢆꢦꢒꢬꢠꣁ,उपगरणा॑,உபகரணொ,upakarano',upakaraNO,upakaraṇŏ,upəkəɾəɳo,tools,கருவி  
ꢥꢔꢸꢥꣁ,नगुना॑,நகு3னொ,naguno',nagunO,nagunŏ,n̪əgun̪o,plough,கலப்பை  
ꢲꢭꣁ,हला॑,ஹலொ,halo',halO,halŏ,ɦəlo,plough,கலப்பை  
ꢦꢵꢡ꣄ꢬꣁ,पात्रा॑,பாத்ரொ,paatro',pAtrO,pātrŏ,pɑːt̪ɾo,container,கலம்  
ꢱꢹꢞꢸ ꢢꢵꢪ꣄,सूडु थाम,ஸூடு3தா2ம்,sood'u thaam,sUDu thAm,sūḍu thām,s̪uːɖu t̪ʰɑːm,thrashing floor,கதிரடிக்கும் களம்  
ꢕꢥꢪꢶꢡꢶ,गनमिति,க4னமிதி,ghanamiti,ghanamiti,ghanamiti,gʰən̪əmɪt̪ɪ,volume,கன அளவு   
ꢒꢫ꣄ꢭꢒꢾꢱꢸꢬꢸ ꢒꢾꢬꢶ,कय्लक॑सुरु क॑रि,கய்லகெஸுரு கெரி,kaylake'suru ke'ri,kaylakEsuru kEri,kaylakĕsuru kĕri,kəjləkes̪uɾu keɾɪ,vegetable vendor (f),காய்கறிக்காரி  
ꢱꢾꢦꢶꢥꢶ,च्पिनि,செபினி,se'pini,sEpini,sĕpini,s̪epɪn̪ɪ,chappal,காலணி  
ꢦꢮ꣄ꢒꢭ꣄,पव्कल,பவ்கள்,pavkal,pavkal,pavkal,pəʋkəl,chappal,காலணி  
ꢦꢮ꣄ꢱꢸꢭ꣄,पव्सुल,பவ்ஸுல்,pavsul,pavsul,pavsul,pəʋs̪ul,chappal,காலணி  
ꢣꢵꢬ꣄ꢮꢵꢥ꣄,दार्वान,தா3ர்வான்,daarvaan,dArvAn,dārvān,d̪ɑːɾʋɑːn̪,watchman,காவல்காரன்  
ꢬꢴꢒ꣄ꢒꣀꢡ꣄,र्हक्कित,ர:க்கைத்,rhakkait,rhakkait,rhakkait,ɾɦəkkəɪt̪,watchman,காவல்காரன்  
ꢗꢮ꣄ꢒꢷꢣꢵꢬ꣄,चव्कीदार,சவ்கீதா3ர்,chavkeedaar,cavkIdAr,cavkīdār,t͡ʃəʋkiːd̪ɑːɾ,watchman,காவல்காரன்  
ꢦꣂꢭꢷꢱ꣄,पा॑लीस,போலீஸ்,polees,polIs,polīs,poːliːs̪,policeman,காவலாளி  
ꢒꢮꢭ꣄ꢒꢾꢬꣁ,कवल्क॑रा॑,கவல்கெரொ,kavalke'ro',kavalkErO,kavalkĕrŏ,kəʋəlkeɾo,policeman,காவலாளி  
ꢢꢠꣀꢡ꣄,थणैत,த2ணைத்,thanait,thaNait,thaṇait,t̪ʰəɳəɪt̪,policeman,காவலாளி  
ꢮꢶꢞ꣄ꢔ꣄ꢫꢵ ꢆꢰ꣄ꢳꣁ,विद्ग्या उष्ळा॑,விட்3க்3யா உஷ்ளொ,vid'gyaa ushl'o',viDgyA uSLO,viḍgyā uṣl̤ŏ,ʋɪɖgjɑː uʂɭo,kiln,காளவாய் /சூளை
ꢗꢸꢥ꣄ꢥꢵ ꢆꢰ꣄ꢳꣁ,चुन्ना उष्ळा॑,சுன்னா உஷ்ளொ,chunnaa ushl'o',cunnA uSLO,cunnā uṣl̤ŏ,t͡ʃun̪n̪ɑː uʂɭo,kiln,காளவாய் /சூளை
ꢙꢹꢠꢡ꣄ꢮꢵꢥ꣄,जूणत्वान,ஜுணத்வான்,joonatvaan,jUNatvAn,jūṇatvān,d͡ʒuːɳət̪ʋɑːn̪,farmer,குடியானவன்  
ꢓꢸꢪ꣄ꢨꢵꢬ꣄,खुम्बार्,கு2ம்பா3ர்,khumbaar,khumbAr,khumbār,kʰumbɑːɾ,potter,குயவன்  
ꢒꣁꢬꢜ꣄,का॑रट,கொரட்,ko'rat',kOraT,kŏraṭ,koɾəʈ,plier,குறடு  
ꢦꢸꢜ꣄ꢒꢶ,पुट्कि,புட்கி,put'ki,puTki,puṭki,puʈkɪ,basket,கூடை  
ꢦꢜꢶ,पटि,படி,pat'i,paTi,paṭi,pəʈɪ,basket,கூடை  
ꢒꢹꢭꢶ,कूलि,கூலி,kooli,kUli,kūli,kuːlɪ,"coolie, wage",கூலி  
ꢒꢹꢭꢶꢒꢾꢬꢶ,कूलिक॑रि,கூலிகெரி  ,koolike'ri,kUlikEri,kūlikĕri,kuːlɪkeɾɪ,coolie (m/f),கூலிக்காரர்
ꢲꢵꢡꢸꢒꢵꢪ꣄,हातुकाम्,ஹாதுகாம்,haatukaam,hAtukAm,hātukām,ɦɑːt̪ukɑːm,handicraft,கைத்தொழில்  
ꢱꢲꢵꢫꢒꣁ,शाहायका॑,ஸஹாயகொ,sahaayako',sahAyakO,sahāyakŏ,s̪əɦɑːjəko,helper (mason),கையாள்  
ꢱꢶꢔꢸꢞꣁ,सिकुडा॑,ஸிகுடொ3,sigud'o',siguDO,siguḍŏ,s̪ɪguɖo,helper (mason),கையாள்  
ꢲꢵꢡꢸ ꢏꢬꣁ,हातु आ॑रा॑,ஹாது ஒரொ,haatu o'ro',hAtu OrO,hātu ŏrŏ,ɦɑːt̪u oɾo,gloves,கையுறை 
ꢲꢵꢡꢸ ꢒꢵꢪ꣄,हातु काम्,ஹாது காம்,haatu kaam,hAtu kAm,hātu kām,ɦɑːt̪u kɑːm,handicraft,கைவினை  
ꢒꣁꢭ꣄ꢒꢶ,का॑ल्कि,கொல்கி,ko'lki,kOlki,kŏlki,kolkɪ,hook,கொக்கி  
ꢱꢪ꣄ꢜꢵꢮ꣄,सम्टाव,ஸம்டாவ்,samt'aav,samTAv,samṭāv,s̪əmʈɑːʋ,hook,கொக்கி  
ꢬꢮꢸꢭꢸ ꢩꢷꢡ꣄,रवुलु भीत,ரவுளு பீ4த்,ravulu bheet,ravulu bhIt,ravulu bhīt,ɾəʋulu bʰiːt̪,rampart,கொத்தளம்  
ꢭꢮ꣄ꢬꢶ,लव्रि,லவ்ரி,lavri,lavri,lavri,ləʋɾɪ,mason,கொத்தனார்
ꢓꢿꢞ꣄,खेड्,கே2ட்3,khed',kheD,kheḍ,kʰeːɖ,boiler,கொதிகலன்  
ꢦꢬꢱꢸ,पर्सु,பரஸு,parasu,parasu,parasu,pəɾəs̪u,axe,கோடரி  
ꢗꢾꢒ꣄ꢒꢬ꣄,च॑क्कुर्,செக்குர்,che'kkar,cEkkar,cĕkkar,t͡ʃekkəɾ,wheel,சக்கரம்  
ꢱꢾꢖ꣄ꢒꢳ꣄,स॑ङ्कळ,ஸெங்கள்,se'nkal',sEGkaL,sĕṅkal̤,s̪eŋkəɭ,chain,சங்கிலி  
ꢱꢪꢹꢲ ꢱꢿꢮꣁ,समूह सेवा॑,ஸமூஹஸேவொ,samooha sevo',samUha sevO,samūha sevŏ,s̪əmuːɦə s̪eːʋo,social work,சமூகப்பணி  
ꢲꢥ꣄ꢣꢮ꣄ ꢒꢾꢬꣁ,हन्दव क॑रा॑,ஹந்த3வ்கெரொ,handav ke'ro',handav kErO,handav kĕrŏ,ɦən̪d̪əʋ keɾo,cook (m),சமையல்காரன்  
ꢲꢥ꣄ꢣꢮ꣄ ꢒꢾꢬꢶꢥ꣄,हन्दव क॑रिन,ஹந்த3வ்கெரின்,handav ke'rin,handav kErin,handav kĕrin,ɦən̪d̪əʋ keɾɪn̪,cook (f),சமையல்காரி  
ꢗꢵꢜꣁ,चाटा॑,சாடொ,chaat'o',cATO,cāṭŏ,t͡ʃɑːʈo,whip,சாட்டை  
ꢱꢵꢠ꣄,साण,ஸாண்,saan,sAN,sāṇ,s̪ɑːɳ,shar pening stone,சாணைக்கல்  
ꢱꢵꢪꢠꣁ,सामणा॑,ஸாமணொ,saamano',sAmaNO,sāmaṇŏ,s̪ɑːməɳo,"tongs, pincer",சாமணம்  
ꢬꢾꢖ꣄ꢔꢸ,र॑ङ्गु,ரெங்கு3,re'ngu,rEGgu,rĕṅgu,ɾeŋgu,dye,சாயம்  
ꢮꢶꢞꢶ,विडि,விடி3,vid'i,viDi,viḍi,ʋɪɖɪ,window,சாளரம்  
ꢱꢶꢭ꣄ꢦꢸ,सिल्पु,ஸில்பு,silpu,silpu,silpu,s̪ɪlpu,sculpture,சிற்பம்  
ꢝꢖ꣄ꢒ꣄ꢥꢵꢬ꣄,ठङ्क्नार,ட2ங்க்னார்,t'hanknaar,ThaGknAr,ṭhaṅknār,ʈʰəŋkn̪ɑːɾ,sculptor,சிற்பி  
ꢱꢶꢭ꣄ꢦꢶ,सिल्पि,ஸில்பி,silpi,silpi,silpi,s̪ɪlpɪ,sculptor,சிற்பி  
ꢱꢶꢭ꣄ꢦꢒꢵꢬ꣄,सिल्पकार,ஸில்பகார்,silpakaar,silpakAr,silpakār,s̪ɪlpəkɑːɾ,sculptor,சிற்பி  
ꢧꢶꢬ꣄ꢮꢜ꣄,फिर्वट्,பி2ர்வட்,phirvat',phirvaT,phirvaṭ,pʰɪɾʋəʈ,rudder,சுக்கான்  
ꢗꢸꢥ꣄ꢥꣁ,चुन्ना॑,சுன்னொ,chunno',cunnO,cunnŏ,t͡ʃun̪n̪o,lime,சுண்ணாம்பு  
ꢱꢸꢡ꣄ꢡꢶꢫꢭ꣄,सुत्तियल्,ஸுத்தியல்,suttiyal,suttiyal,suttiyal,s̪ut̪t̪ɪjəl,hammer,சுத்தியில்  
ꢪꢹꢬ꣄,मूर,மூர்,moor,mUr,mūr,muːɾ,hammer,சுத்தியில்  
ꢩꢵꢬ꣄ꢡꢸꢒ꣄ꢒꢸꢥꢵꢬ꣄,भार्तुक्कुनार,பா4ர்துக்குனார்,bhaartukkunaar,bhArtukkunAr,bhārtukkunār,bʰɑːɾt̪ukkun̪ɑːɾ,porter,சுமையாள்  
ꢆꢰ꣄ꢭꣁ,उष्ला॑,உஷ்லொ,ushlo',uSlO,uṣlŏ,uʂlo,kiln,சூளை
ꢦꢾꢠ꣄ꢕꢠꣁ,प॑ण्घणा॑,பெண்க4ணொ,pe'nghano',pENghaNO,pĕṇghaṇŏ,peɳgʰəɳo,oil press,செக்கு  
ꢗꢾꢠ꣄ꢜꢾ ꢮꢵꢡ꣄ꢫꢪ꣄,च॑ण्ट॑ (वात्यम्),செண்டெ (வாத்யம்),che'nt'e' vaatyam,cENTE vAtyam,cĕṇṭĕ vātyam,t͡ʃeɳʈe ʋɑːt̪jəm,drum,செண்டை  
ꢪꢴꢳꢫ꣄ꢡꢸ,म्हळय्तु,ம:ளய்து,mhal'aytu,mhaLaytu,mhal̤aytu,mɦəɭəjt̪u,fisherman,செம்படவன்
ꢪꢴꢳ꣄ꢶꢮꢵꢥ꣄,म्हळिवान,ம:ளிவான்,mhal'_ivaan,mhaL_ivAn,mhal̤_ivān,mɦəɭ_ɪʋɑːn̪,fisherman,செம்படவன்
ꢪꢴꢳꢶꢶꢒꢾꢬꢶ,म्हळिकेरि,ம:ளிகெரி,mhal'iike'ri,mhaLiikEri,mhal̤iikĕri,mɦəɭɪɪkeɾɪ,fisherman,செம்படவன்
ꢱꢾꢒ꣄ꢒꢸꢭꢸꢮꢵꢥ꣄,स॑क्कुलुवान,ஸெக்குலுவான்,se'kkuluvaan,sEkkuluvAn,sĕkkuluvān,s̪ekkuluʋɑːn̪,cobbler,சக்கிலியன்
ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ,कार्यदर्सि,கார்யத3ர்ஸி,kaaryadarsi,kAryadarsi,kāryadarsi,kɑːɾjəd̪əɾs̪ɪ,secretary,செயலர்  
ꢒꢵꢬ꣄ꢫꢡꢬ꣄ꢱꢶ,कार्यदर्सि,கார்யதர்ஸி,kaaryatarsi,kAryatarsi,kāryatarsi,kɑːɾjət̪əɾs̪ɪ,secretary,செயலாளர்  
ꢙꣂꢱ꣄ꢫꢪ꣄,जोस्यम्,ஜோஸ்யம்,josyam,josyam,josyam,d͡ʒoːs̪jəm,astrology,சோதிடம்  
ꢱꣂꢱꢶ,जोसि,ஜோஸி,sosi,sosi,sosi,s̪oːs̪ɪ,astrologer,சோதிடன்  
ꢡꢾꢔꢞ꣄,त॑गड,தெக3ட்3,te'gad',tEgaD,tĕgaḍ,t̪egəɖ,sheet/,தகடு  
ꢲꣁꢣꢫ꣄ꢡꢸ,हा॑डय्तु,ஹொட3ய்து,ho'daytu,hOdaytu,hŏdaytu,ɦod̪əjt̪u,,
ꢱꣁꢥꢵꢬꢸ,सा॑नार,ஸொனார்,so'naaru,sOnAru,sŏnāru,s̪on̪ɑːɾu,goldsmith,தட்டான்  
ꢒꢱꢵꢬ꣄,कसार,கஸார்,kasaar,kasAr,kasār,kəs̪ɑːɾ,goldsmith,தட்டான்  
ꢭꢿꢔꢸꢮꢵꢥ꣄,लेगुवान्,லேகு3வான்,leguvaan,leguvAn,leguvān,leːguʋɑːn̪,Postman,தபால்காரன்
ꢡꢦꢵꢭ꣄ꢒꢾꢬꣁ,तपाल्क॑रा॑,தபால்கெரொ,tapaalke'ro',tapAlkErO,tapālkĕrŏ,t̪əpɑːlkeɾo,Postman,தபால்காரன்
ꢡꢾꢬ꣄ꢒꢳꢶ,त॑र्कळि,தெர்களி,te'rkal'i,tErkaLi,tĕrkal̤i,t̪eɾkəɭɪ,broker,தரகன்  
ꢡꢾꢬꢒ꣄,त॑रक्,தெரக்,te'rak,tErak,tĕrak,t̪eɾək,brokerage,தரகு  
ꢤꣁꢠ꣄ꢞꣁ,धा॑ण्डा॑,தொ4ண்டொ3,dho'nd'o',dhONDO,dhŏṇḍŏ,d̪ʰoɳɖo,drum,தவில்  
ꢣꣁꢨ꣄ꢨꢥ꣄ ꢔꢸꢰ꣄ꢜꢶ,दा॑ब्बन गुष्टि,தொ3ப்3ப3ன் கு3ஷ்டி,do'bban gusht'i,dObban guSTi,dŏbban guṣṭi,d̪obbən̪ guʂʈɪ,trolley,தள்ளுவண்டி  
